Timestamp(ns),Value,MotorActive
1741806300838868000,-0.24,false
1741806300842854000,4.49,false
1741806300846854000,7.00,false
1741806300850854000,3.59,false
1741806300854900000,-1.06,false
1741806300858854000,-5.19,false
1741806300862854000,-1.96,false
1741806300866854000,6.57,false
1741806300870854000,5.63,false
1741806300874907000,2.92,false
1741806300878854000,-3.23,false
1741806300882854000,-2.08,false
1741806300886854000,0.28,false
1741806300890854000,2.00,false
1741806300894898000,-2.28,false
1741806300898854000,-3.79,false
1741806300902854000,-1.73,false
1741806300906854000,2.13,false
1741806300910854000,-0.83,false
1741806300914905000,-2.69,false
1741806300918854000,-5.41,false
1741806300922854000,0.47,false
1741806300926854000,4.38,false
1741806300930854000,3.33,false
1741806300934900000,0.79,false
1741806300938854000,-2.37,false
1741806300942854000,0.38,false
1741806300946854000,2.96,false
1741806300950854000,2.95,false
1741806300954869000,2.51,false
1741806300958854000,-1.10,false
1741806300962854000,1.66,false
1741806300966854000,4.45,false
1741806300970854000,0.98,false
1741806300974870000,-1.23,false
1741806300978854000,-0.33,false
1741806300982854000,0.94,false
1741806300986854000,3.98,false
1741806300990854000,2.44,false
1741806300994869000,-6.06,false
1741806300998854000,-7.91,false
1741806301002854000,-3.12,false
1741806301006854000,-0.02,false
1741806301010854000,3.88,false
1741806301014869000,1.95,false
1741806301018854000,-1.65,false
1741806301022854000,0.80,false
1741806301026854000,4.57,false
1741806301030854000,3.79,false
1741806301034869000,2.42,false
1741806301038854000,1.55,false
1741806301042856000,4.06,false
1741806301046854000,5.27,false
1741806301050854000,0.18,false
1741806301054869000,-2.88,false
1741806301058854000,-5.53,false
1741806301062854000,-1.98,false
1741806301066854000,3.70,false
1741806301070855000,1.27,false
1741806301074894000,-2.44,false
1741806301078855000,-6.63,false
1741806301082854000,-2.83,false
1741806301086854000,2.11,false
1741806301090854000,4.13,false
1741806301094869000,-0.19,false
1741806301098854000,-1.95,false
1741806301102854000,2.20,false
1741806301106854000,5.03,false
1741806301110854000,5.88,false
1741806301114869000,3.95,false
1741806301118854000,1.71,false
1741806301122854000,7.10,false
1741806301126854000,10.59,false
1741806301130854000,8.66,false
1741806301134871000,5.29,false
1741806301138854000,-0.15,false
1741806301142854000,2.41,false
1741806301146854000,4.53,false
1741806301150854000,5.38,false
1741806301154869000,-2.53,false
1741806301158854000,-6.17,false
1741806301162854000,-3.86,false
1741806301166854000,3.22,false
1741806301170854000,1.92,false
