Timestamp(ns),Value,MotorActive
1741801801664868000,1.46,false
1741801801668854000,5.34,false
1741801801672854000,2.89,false
1741801801676861000,0.17,false
1741801801680905000,-2.82,false
1741801801684854000,0.23,false
1741801801688854000,4.09,false
1741801801692854000,1.70,false
1741801801696861000,-1.42,false
1741801801700905000,-3.05,false
1741801801704854000,-0.54,false
1741801801708854000,4.93,false
1741801801712854000,1.56,false
1741801801716861000,-1.10,false
1741801801720905000,-1.62,false
1741801801724854000,0.93,false
1741801801728854000,4.05,false
1741801801732854000,2.28,false
1741801801736861000,-3.89,false
1741801801740905000,-3.94,false
1741801801744854000,-0.86,false
1741801801748854000,2.44,false
1741801801752854000,1.00,false
1741801801756861000,-1.79,false
1741801801760905000,-4.37,false
1741801801764854000,1.45,false
1741801801768854000,5.06,false
1741801801772854000,2.77,false
1741801801776861000,0.00,false
1741801801780906000,-2.81,false
1741801801784854000,0.08,false
1741801801787988000,4.34,false
1741801801791854000,5.10,false
1741801801795854000,-0.75,false
1741801801799854000,-2.72,false
1741801801803854000,0.16,false
1741801801807854000,2.85,false
1741801801811854000,1.29,false
1741801801815854000,-2.01,false
1741801801819854000,-5.41,false
1741801801823854000,-2.59,false
1741801801827854000,4.51,false
1741801801831854000,3.50,false
1741801801835854000,0.58,false
1741801801839854000,-2.54,false
1741801801843854000,-0.44,false
1741801801847854000,2.25,false
1741801801851854000,3.14,false
1741801801855854000,-3.06,false
1741801801859854000,-5.22,false
1741801801863857000,-1.68,false
1741801801867856000,4.59,false
1741801801871854000,2.93,false
1741801801875854000,1.03,false
1741801801879854000,-2.27,false
1741801801883854000,1.54,false
1741801801887854000,4.90,false
1741801801891854000,3.61,false
1741801801895854000,-0.06,false
1741801801899854000,-4.37,false
1741801801903854000,-1.08,false
1741801801907854000,2.35,false
1741801801911854000,2.22,false
1741801801915854000,-0.13,false
1741801801919854000,-2.76,false
1741801801923854000,-0.49,false
1741801801927854000,4.79,false
1741801801931854000,2.95,false
1741801801935854000,-0.32,false
1741801801939854000,-3.64,false
1741801801943960000,-0.97,false
1741801801947854000,2.33,false
1741801801951854000,3.48,false
1741801801955854000,-2.50,false
1741801801959854000,-4.54,false
1741801801963855000,-0.93,false
1741801801967854000,2.06,false
1741801801971854000,1.90,false
1741801801975854000,-1.13,false
1741801801979854000,-4.85,false
1741801801983854000,-0.33,false
1741801801987854000,3.66,false
1741801801991854000,3.21,false
1741801801995854000,0.58,false
1741801801999854000,-2.53,false
1741801802003854000,0.91,false
1741801802007854000,4.16,false
1741801802011854000,1.49,false
1741801802015854000,-1.24,false
1741801802019854000,-4.43,false
1741801802023854000,-1.97,false
1741801802027854000,3.82,false
1741801802031854000,2.26,false
1741801802035854000,-0.08,false
1741801802039854000,-2.99,false
1741801802043854000,0.53,false
1741801802047854000,3.82,false
1741801802051858000,4.38,false
1741801802055856000,-2.76,false
1741801802059854000,-5.15,false
1741801802063854000,-1.79,false
1741801802067854000,0.62,false
1741801802071854000,1.02,false
1741801802075856000,-1.19,false
1741801802079854000,-4.35,false
1741801802083854000,1.35,false
1741801802087854000,5.29,false
1741801802091854000,4.23,false
1741801802095869000,1.43,false
1741801802099854000,-3.64,false
1741801802103854000,-0.97,false
1741801802107854000,2.40,false
1741801802111854000,1.50,false
1741801802115869000,-1.11,false
1741801802119854000,-3.93,false
1741801802123854000,-0.57,false
1741801802127854000,6.01,false
1741801802131854000,3.43,false
1741801802135869000,0.48,false
1741801802139854000,-3.33,false
1741801802143854000,-0.26,false
1741801802147854000,2.77,false
1741801802152140000,2.86,false
1741801802155892000,-2.41,false
1741801802159854000,-3.67,false
1741801802163854000,-0.57,false
1741801802167854000,2.12,false
1741801802171854000,2.42,false
1741801802175869000,-0.22,false
1741801802179854000,-4.11,false
1741801802183854000,0.08,false
1741801802187854000,4.16,false
1741801802191854000,3.16,false
1741801802195869000,-0.22,false
1741801802199854000,-2.61,false
1741801802203854000,0.68,false
1741801802207854000,3.44,false
1741801802211854000,5.13,false
1741801802215869000,-1.03,false
1741801802219854000,-3.69,false
1741801802223854000,-0.69,false
1741801802227854000,4.61,false
1741801802231854000,2.07,false
1741801802235869000,-0.44,false
1741801802239854000,-3.84,false
1741801802243854000,0.58,false
1741801802247854000,4.56,false
1741801802251139000,4.38,false
1741801802254854000,0.88,false
1741801802258854000,-2.27,false
1741801802262857000,-0.83,false
1741801802266861000,1.51,false
1741801802270854000,3.37,false
1741801802274854000,-2.59,false
1741801802278854000,-5.12,false
1741801802282854000,-2.07,false
1741801802286861000,1.04,false
1741801802290856000,4.27,false
1741801802294854000,1.27,false
1741801802298854000,-2.83,false
1741801802302854000,-0.40,false
1741801802306861000,3.09,false
1741801802310854000,3.53,false
1741801802314854000,0.17,false
1741801802318854000,-4.35,false
1741801802322854000,-0.81,false
1741801802326861000,2.40,false
1741801802330854000,6.37,false
1741801802334854000,1.34,false
1741801802338854000,-3.08,false
1741801802342854000,-2.68,false
1741801802346861000,2.61,false
1741801802350854000,2.46,false
1741801802354857000,-0.23,false
1741801802358854000,-3.34,false
1741801802362854000,-0.47,false
1741801802366861000,2.70,false
1741801802370854000,5.46,false
1741801802374854000,-0.68,false
1741801802378854000,-3.84,false
1741801802382854000,-2.21,false
1741801802386861000,-0.50,false
1741801802390854000,1.25,false
1741801802394854000,-0.75,false
1741801802398854000,-3.95,false
1741801802402854000,0.91,false
1741801802406861000,5.00,false
1741801802410854000,5.89,false
1741801802414854000,2.44,false
1741801802418854000,-3.86,false
1741801802422854000,-1.45,false
1741801802426861000,0.57,false
1741801802430854000,3.59,false
1741801802434854000,-1.91,false
1741801802438854000,-5.13,false
1741801802442854000,-2.25,false
1741801802446861000,5.67,false
1741801802450854000,5.35,false
1741801802454854000,2.55,false
1741801802458854000,-1.48,false
1741801802462855000,-1.02,false
1741801802466861000,1.20,false
1741801802470854000,2.36,false
1741801802474856000,-2.52,false
1741801802478854000,-5.11,false
1741801802482854000,-2.14,false
1741801802486861000,1.17,false
1741801802490854000,4.10,false
1741801802494854000,1.51,false
1741801802498854000,-2.88,false
1741801802502854000,-2.60,false
1741801802506861000,2.49,false
1741801802510854000,2.23,false
1741801802514854000,-1.49,false
1741801802518854000,-5.17,false
1741801802522854000,-0.90,false
1741801802526861000,2.68,false
1741801802530854000,6.41,false
1741801802534854000,1.42,false
1741801802538854000,-2.35,false
1741801802542854000,-0.78,false
1741801802546861000,3.73,false
1741801802550854000,1.86,false
1741801802554854000,-1.44,false
1741801802558854000,-4.69,false
1741801802562854000,-0.62,false
1741801802566861000,3.16,false
1741801802570854000,5.73,false
1741801802574854000,3.11,false
1741801802578854000,-3.16,false
1741801802582854000,-1.31,false
1741801802586861000,0.15,false
1741801802590854000,0.20,false
1741801802594854000,-3.04,false
1741801802598854000,-6.08,false
1741801802602854000,-3.71,false
1741801802606861000,4.68,false
1741801802610854000,5.32,false
1741801802614854000,2.49,false
1741801802618854000,-2.43,false
1741801802622854000,0.06,false
1741801802626861000,2.19,false
1741801802630854000,3.98,false
1741801802634854000,-2.33,false
1741801802638854000,-5.56,false
1741801802642854000,-2.29,false
1741801802646861000,0.82,false
1741801802650854000,4.65,false
1741801802654854000,1.90,false
1741801802658854000,-1.66,false
1741801802662856000,0.06,false
1741801802666861000,2.73,false
1741801802670854000,3.09,false
1741801802674854000,-0.64,false
1741801802678854000,-4.98,false
1741801802682854000,-2.28,false
1741801802686861000,0.81,false
1741801802690854000,3.00,false
1741801802694854000,0.65,false
1741801802698854000,-2.71,false
1741801802702854000,-1.87,false
1741801802706861000,3.04,false
1741801802710854000,2.46,false
1741801802714854000,-0.66,false
1741801802718854000,-3.80,false
1741801802722854000,-1.01,false
1741801802726861000,3.01,false
1741801802730854000,6.12,false
1741801802734854000,-0.06,false
1741801802738854000,-3.40,false
1741801802742854000,-0.90,false
1741801802746861000,1.23,false
1741801802750854000,2.11,false
1741801802754854000,-0.91,false
1741801802758854000,-4.37,false
1741801802763105000,0.19,false
1741801802766862000,4.18,false
1741801802770854000,5.47,false
1741801802774854000,2.10,false
1741801802778854000,-3.64,false
1741801802782854000,-1.07,false
1741801802786861000,0.72,false
1741801802790856000,3.45,false
1741801802794854000,-2.16,false
1741801802798854000,-5.77,false
1741801802802854000,-3.30,false
1741801802806861000,4.07,false
1741801802810854000,3.95,false
1741801802814854000,1.12,false
1741801802818854000,-1.91,false
1741801802822854000,-0.02,false
1741801802826861000,2.41,false
1741801802830854000,4.04,false
1741801802834854000,-2.31,false
1741801802838854000,-5.57,false
1741801802842854000,-2.23,false
1741801802846861000,1.27,false
1741801802850854000,3.56,false
1741801802854854000,1.60,false
1741801802858854000,-2.18,false
1741801802862855000,0.60,false
1741801802866863000,3.56,false
1741801802870854000,3.38,false
1741801802874856000,-0.05,false
1741801802878854000,-4.89,false
1741801802882854000,-1.87,false
1741801802886861000,1.45,false
1741801802890854000,5.39,false
1741801802894854000,0.60,false
1741801802898854000,-2.82,false
1741801802902854000,-1.64,false
1741801802906861000,3.71,false
1741801802910854000,2.00,false
1741801802914854000,-1.10,false
1741801802918854000,-4.48,false
1741801802922854000,-1.36,false
1741801802926861000,2.54,false
1741801802930854000,5.00,false
1741801802934854000,0.08,false
1741801802938854000,-2.47,false
1741801802942854000,0.03,false
1741801802946861000,1.59,false
1741801802950854000,1.68,false
1741801802954854000,-1.17,false
1741801802958854000,-4.78,false
1741801802962854000,-3.31,false
1741801802966861000,3.77,false
1741801802970854000,4.50,false
1741801802974854000,1.73,false
1741801802978854000,-2.06,false
1741801802982854000,0.72,false
1741801802986861000,3.14,false
1741801802990854000,5.50,false
1741801802994854000,4.15,false
1741801802998854000,5.61,false
1741801803002854000,14.31,false
1741801803006861000,36.59,false
1741801803010854000,44.95,false
1741801803014854000,52.07,false
1741801803018854000,58.16,false
1741801803022854000,77.57,false
1741801803026861000,88.35,false
1741801803030854000,96.85,false
1741801803034854000,100.73,false
1741801803038854000,110.80,false
1741801803042854000,123.66,false
1741801803046861000,136.94,false
1741801803050854000,161.94,false
1741801803054854000,171.74,false
1741801803058854000,180.34,false
1741801803062856000,193.23,false
1741801803066861000,221.06,false
1741801803070856000,229.47,false
1741801803074854000,234.27,false
1741801803078854000,240.98,false
1741801803082854000,247.31,false
1741801803086861000,252.28,false
1741801803090854000,255.35,false
1741801803094854000,246.41,false
1741801803098854000,240.30,false
1741801803102854000,239.02,false
1741801803106861000,237.51,false
1741801803110854000,231.84,false
1741801803114854000,226.64,false
1741801803118854000,221.52,false
1741801803122854000,226.29,false
1741801803126861000,232.21,false
1741801803130854000,236.41,false
1741801803134854000,235.87,false
1741801803138854000,236.67,false
1741801803142854000,241.75,false
1741801803146861000,245.63,false
1741801803150854000,246.29,false
1741801803154854000,244.08,false
1741801803158854000,240.33,false
1741801803162854000,241.79,false
1741801803166861000,251.01,false
1741801803170854000,253.20,false
1741801803174856000,254.28,false
1741801803178854000,260.62,false
1741801803182854000,271.17,false
1741801803186861000,281.86,false
1741801803190854000,291.37,false
1741801803194854000,298.23,false
1741801803198854000,301.64,false
1741801803202854000,311.05,false
1741801803206861000,319.52,false
1741801803210854000,330.18,false
1741801803214854000,331.37,false
1741801803218854000,331.77,false
1741801803222854000,345.80,false
1741801803226861000,355.40,false
1741801803230854000,362.29,false
1741801803234854000,364.48,false
1741801803238854000,369.51,false
1741801803242854000,377.70,false
1741801803246861000,385.54,false
1741801803250854000,394.04,false
1741801803254854000,395.63,false
1741801803258854000,397.25,false
1741801803262854000,405.28,false
1741801803266861000,427.30,false
1741801803270854000,435.59,false
1741801803275102000,441.88,false
1741801803278405000,448.31,false
1741801803281854000,458.54,false
1741801803285889000,487.47,false
1741801803289856000,499.05,false
1741801803293854000,497.51,false
1741801803297854000,498.00,false
1741801803301854000,518.28,false
1741801803305869000,536.71,false
1741801803309854000,547.29,false
1741801803313854000,537.04,false
1741801803317854000,528.74,false
1741801803321854000,527.36,false
1741801803325869000,532.14,false
1741801803329854000,546.61,false
1741801803333854000,550.57,false
1741801803337854000,555.13,false
1741801803341854000,562.96,false
1741801803345869000,563.99,false
1741801803349854000,564.10,false
1741801803353854000,560.40,false
1741801803357854000,565.54,false
1741801803361854000,577.40,false
1741801803365869000,589.10,false
1741801803369854000,601.76,false
1741801803373854000,601.78,false
1741801803377855000,601.32,false
1741801803381854000,604.82,false
1741801803385871000,620.88,false
1741801803389854000,625.91,false
1741801803393854000,624.86,false
1741801803397854000,623.64,false
1741801803401854000,626.01,false
1741801803405869000,631.45,false
1741801803409854000,638.89,false
1741801803413854000,643.86,false
1741801803417854000,644.82,false
1741801803421854000,648.74,false
1741801803425869000,651.82,false
1741801803429854000,651.81,false
1741801803433854000,647.81,false
1741801803437854000,646.93,false
1741801803441854000,658.47,false
1741801803445869000,666.46,false
1741801803449854000,672.91,false
1741801803453854000,671.03,false
1741801803457854000,663.76,false
1741801803461854000,665.89,false
1741801803465871000,669.46,false
1741801803469854000,677.12,false
1741801803473856000,677.48,false
1741801803477854000,677.31,false
1741801803481855000,680.65,false
1741801803485870000,691.27,false
1741801803489854000,694.03,false
1741801803493854000,693.02,false
1741801803497854000,694.20,false
1741801803501854000,704.62,false
1741801803505869000,712.04,false
1741801803509854000,718.28,false
1741801803513854000,714.69,false
1741801803517854000,710.69,false
1741801803521854000,712.67,false
1741801803525869000,715.97,false
1741801803529854000,721.67,false
1741801803533854000,719.67,false
1741801803537854000,717.38,false
1741801803541854000,718.84,false
1741801803545869000,720.43,false
1741801803549854000,722.88,false
1741801803553854000,721.18,false
1741801803557854000,723.74,false
1741801803561854000,729.75,false
1741801803565869000,733.93,false
1741801803569854000,737.20,false
1741801803573854000,729.43,false
1741801803577854000,723.59,false
1741801803581854000,723.00,false
1741801803585869000,727.57,false
1741801803589854000,727.26,false
1741801803593854000,722.05,false
1741801803597854000,716.68,false
1741801803601854000,712.42,false
1741801803605869000,712.77,false
1741801803609854000,713.81,false
1741801803613854000,705.19,false
1741801803617854000,700.79,false
1741801803621854000,702.64,false
1741801803625869000,704.94,false
1741801803629854000,706.96,false
1741801803633854000,703.81,false
1741801803637854000,701.43,false
1741801803641854000,701.33,false
1741801803645869000,706.73,false
1741801803649854000,707.35,false
1741801803653854000,702.54,false
1741801803657854000,691.01,false
1741801803661856000,690.81,false
1741801803665872000,693.02,false
1741801803669855000,699.29,false
1741801803673854000,703.31,false
1741801803677854000,701.24,false
1741801803681854000,701.29,false
1741801803685871000,701.80,false
1741801803689854000,700.11,false
1741801803693854000,696.17,false
1741801803697854000,694.86,false
1741801803701854000,702.19,false
1741801803705869000,709.03,false
1741801803709854000,715.15,false
1741801803713854000,713.85,false
1741801803717854000,706.92,false
1741801803721854000,708.88,false
1741801803725869000,713.01,false
1741801803729854000,722.91,false
1741801803733854000,723.96,false
1741801803737854000,724.25,false
1741801803741854000,726.07,false
1741801803745869000,734.79,false
1741801803749854000,737.75,false
1741801803753854000,736.14,false
1741801803757854000,737.41,false
1741801803761854000,744.79,false
1741801803765869000,751.72,false
1741801803769854000,758.39,false
1741801803773854000,757.59,false
1741801803777854000,756.03,false
1741801803781854000,760.21,false
1741801803785869000,778.32,false
1741801803789857000,784.43,false
1741801803793854000,786.64,false
1741801803797854000,788.36,false
1741801803801854000,795.15,false
1741801803805869000,799.43,false
1741801803809854000,803.93,false
1741801803813854000,803.50,false
1741801803817854000,805.03,false
1741801803821854000,811.87,false
1741801803825869000,818.30,false
1741801803829854000,826.63,false
1741801803833854000,826.06,false
1741801803837854000,825.36,false
1741801803841854000,827.73,false
1741801803845869000,833.42,false
1741801803849854000,839.72,false
1741801803853854000,846.10,false
1741801803857854000,850.59,false
1741801803861854000,851.98,false
1741801803865871000,851.55,false
1741801803869854000,852.15,false
1741801803873856000,843.28,false
1741801803877854000,839.31,false
1741801803881854000,841.01,false
1741801803885869000,845.15,false
1741801803889855000,850.58,false
1741801803893854000,843.91,false
1741801803897854000,834.57,false
1741801803901854000,826.05,false
1741801803905869000,826.72,false
1741801803909854000,828.85,false
1741801803913854000,826.64,false
1741801803917854000,817.01,false
1741801803921854000,814.57,false
1741801803925869000,811.45,false
1741801803929854000,805.28,false
1741801803933854000,799.78,false
1741801803937854000,794.42,false
1741801803941854000,793.48,false
1741801803945869000,798.90,false
1741801803949854000,801.14,false
1741801803953854000,797.83,false
1741801803957854000,791.11,false
1741801803961854000,791.34,false
1741801803965869000,804.40,false
1741801803969854000,814.09,false
1741801803973854000,808.15,false
1741801803977854000,801.76,false
1741801803981854000,799.06,false
1741801803985869000,794.82,false
1741801803989854000,774.97,false
1741801803993854000,769.58,false
1741801803997854000,775.66,false
1741801804001854000,808.34,false
1741801804005869000,817.13,false
1741801804009854000,817.72,false
1741801804013854000,808.23,false
1741801804017854000,792.74,false
1741801804021854000,794.69,false
1741801804025869000,800.46,false
1741801804029854000,811.19,false
1741801804033854000,827.38,false
1741801804037854000,832.67,false
1741801804041854000,837.77,false
1741801804045869000,840.50,false
1741801804049854000,840.13,false
1741801804053854000,839.14,false
1741801804057854000,843.55,false
1741801804061856000,863.31,false
1741801804065871000,871.68,false
1741801804069854000,876.75,false
1741801804073854000,869.34,false
1741801804077854000,865.62,false
1741801804081854000,869.10,false
1741801804085863000,875.05,false
1741801804089854000,888.20,false
1741801804093854000,890.67,false
1741801804097856000,891.69,false
1741801804101854000,894.50,false
1741801804105854000,903.74,false
1741801804109854000,907.28,false
1741801804113854000,906.48,false
1741801804117854000,905.42,false
1741801804121854000,910.21,false
1741801804125854000,914.10,false
1741801804129854000,919.01,false
1741801804133854000,917.95,false
1741801804137854000,916.54,false
1741801804141854000,920.35,false
1741801804145854000,930.00,false
1741801804149854000,930.00,false
1741801804153854000,925.00,false
1741801804157854000,920.84,false
1741801804161854000,922.09,false
1741801804165854000,925.66,false
1741801804169854000,929.21,false
1741801804173854000,926.93,false
1741801804177854000,924.25,false
1741801804181854000,929.08,false
1741801804185854000,932.93,false
1741801804189854000,936.40,false
1741801804193854000,933.95,false
1741801804197854000,931.59,false
1741801804201854000,931.82,false
1741801804205854000,934.73,false
1741801804209854000,932.15,false
1741801804213854000,925.01,false
1741801804217854000,917.24,false
1741801804221854000,919.60,false
1741801804225854000,920.66,false
1741801804229854000,922.81,false
1741801804233854000,917.62,false
1741801804237854000,914.62,false
1741801804241854000,915.15,false
1741801804245854000,919.40,false
1741801804249854000,918.75,false
1741801804253854000,915.78,false
1741801804257854000,913.86,false
1741801804261854000,916.82,false
1741801804265854000,919.26,false
1741801804269855000,921.91,false
1741801804273856000,919.39,false
1741801804277854000,917.09,false
1741801804281854000,920.08,false
1741801804285854000,921.87,false
1741801804289855000,921.18,false
1741801804293854000,917.18,false
1741801804297854000,913.22,false
1741801804301962000,913.05,false
1741801804305854000,919.86,false
1741801804309854000,922.12,false
1741801804313854000,920.05,false
1741801804317854000,914.76,false
1741801804321854000,915.68,false
1741801804325854000,913.99,false
1741801804329854000,911.75,false
1741801804333854000,895.60,false
1741801804337854000,888.02,false
1741801804341854000,886.79,false
1741801804345854000,887.93,false
1741801804349854000,892.66,false
1741801804353854000,892.11,false
1741801804357854000,891.49,false
1741801804361854000,898.55,false
1741801804365854000,903.22,false
1741801804369854000,906.36,false
1741801804373854000,902.62,false
1741801804377854000,890.76,false
1741801804381854000,886.86,false
1741801804385854000,881.02,false
1741801804389854000,866.87,false
1741801804393854000,856.55,false
1741801804397854000,847.33,false
1741801804401854000,843.56,false
1741801804405858000,842.78,false
1741801804409854000,840.94,false
1741801804413854000,834.09,false
1741801804417854000,828.18,false
1741801804421854000,826.23,false
1741801804425854000,830.29,false
1741801804429854000,836.13,false
1741801804433854000,835.09,false
1741801804437854000,832.00,false
1741801804441854000,832.83,false
1741801804445854000,833.19,false
1741801804449854000,829.80,false
1741801804453854000,823.51,false
1741801804457854000,817.14,false
1741801804461854000,815.10,false
1741801804465854000,816.99,false
1741801804469854000,818.89,false
1741801804473857000,815.93,false
1741801804477854000,810.79,false
1741801804481854000,813.19,false
1741801804485854000,813.97,false
1741801804489854000,809.44,false
1741801804493854000,773.36,false
1741801804497854000,763.04,false
1741801804501854000,771.78,false
1741801804505854000,813.27,false
1741801804509854000,824.12,false
1741801804513854000,821.43,false
1741801804517854000,811.68,false
1741801804521854000,792.63,false
1741801804525854000,787.61,false
1741801804529854000,787.05,false
1741801804533854000,791.26,false
1741801804537854000,798.35,false
1741801804541854000,809.19,false
1741801804545854000,813.76,false
1741801804549854000,798.77,false
1741801804553854000,781.41,false
1741801804557854000,768.29,false
1741801804561854000,765.78,false
1741801804565854000,787.65,false
1741801804569854000,799.94,false
1741801804573854000,803.33,false
1741801804577854000,794.27,false
1741801804581854000,791.54,false
1741801804585854000,788.06,false
1741801804589854000,786.92,false
1741801804593854000,779.66,false
1741801804597854000,778.12,false
1741801804601854000,782.00,false
1741801804605854000,790.04,false
1741801804609854000,788.21,false
1741801804613854000,781.17,false
1741801804617854000,774.01,false
