Timestamp(ns),Value,MotorActive
1741789486432830000,-1.19,false
1741789486436816000,4.99,false
1741789486440816000,3.40,false
1741789486444816000,1.16,false
1741789486448816000,-2.37,false
1741789486452816000,0.57,false
1741789486456816000,3.95,false
1741789486460816000,4.41,false
1741789486464816000,-1.63,false
1741789486468816000,-3.78,false
1741789486472816000,-1.43,false
1741789486476816000,0.81,false
1741789486480816000,0.87,false
1741789486484816000,-2.02,false
1741789486488816000,-4.92,false
1741789486492816000,-0.08,false
1741789486496816000,3.84,false
1741789486500816000,2.94,false
1741789486504816000,0.96,false
1741789486508816000,-3.07,false
1741789486512816000,0.16,false
1741789486516816000,3.15,false
1741789486520816000,1.44,false
1741789486524816000,-0.78,false
1741789486528816000,-3.29,false
1741789486532816000,-0.99,false
1741789486536817000,3.84,false
1741789486540819000,2.04,false
1741789486544816000,-0.34,false
1741789486548816000,-3.20,false
1741789486552816000,0.17,false
1741789486556816000,2.95,false
1741789486560816000,3.09,false
1741789486564816000,-2.22,false
1741789486568816000,-3.68,false
1741789486572816000,0.17,false
1741789486576816000,3.24,false
1741789486580816000,2.33,false
1741789486584816000,-0.35,false
1741789486588816000,-3.53,false
1741789486592816000,1.85,false
1741789486596816000,5.29,false
1741789486600816000,3.89,false
1741789486604816000,0.67,false
1741789486608816000,-3.22,false
1741789486612816000,-0.68,false
1741789486616816000,2.53,false
1741789486620816000,4.31,false
1741789486624816000,-2.05,false
1741789486628816000,-4.73,false
1741789486632818000,-1.93,false
1741789486636080000,0.84,false
1741789486639817000,2.95,false
1741789486643823000,0.18,false
1741789486647831000,-3.47,false
1741789486651816000,-2.52,false
1741789486655816000,4.87,false
1741789486659816000,5.54,false
1741789486663823000,2.29,false
1741789486667831000,-1.06,false
1741789486671816000,0.20,false
1741789486675816000,2.17,false
1741789486679816000,4.58,false
1741789486683823000,-1.03,false
1741789486687831000,-4.73,false
1741789486691816000,-2.22,false
1741789486695816000,0.08,false
1741789486699816000,2.83,false
1741789486703823000,0.18,false
1741789486707831000,-3.53,false
1741789486711816000,-1.17,false
1741789486715816000,2.75,false
1741789486719816000,4.85,false
1741789486723823000,1.60,false
1741789486727831000,-4.26,false
1741789486731816000,-1.43,false
1741789486735816000,0.82,false
1741789486739817000,4.24,false
1741789486743823000,-0.32,false
1741789486747835000,-4.07,false
1741789486751816000,-3.09,false
1741789486755816000,2.82,false
1741789486759009000,3.13,false
1741789486762817000,0.33,false
1741789486766816000,-2.85,false
1741789486770816000,-4.67,false
1741789486774816000,1.30,false
1741789486778816000,4.76,false
1741789486782823000,2.43,false
1741789486786819000,-4.01,false
1741789486790816000,-2.37,false
1741789486794817000,0.06,false
1741789486798816000,3.80,false
1741789486802816000,0.04,false
1741789486806816000,-3.02,false
1741789486810816000,-3.55,false
1741789486814816000,-0.37,false
1741789486818816000,4.25,false
1741789486822816000,0.69,false
1741789486826816000,-2.01,false
1741789486830818000,-1.59,false
1741789486834816000,0.63,false
1741789486838816000,3.83,false
1741789486842817000,1.69,false
1741789486846816000,-4.08,false
1741789486850816000,-3.37,false
1741789486854816000,-0.65,false
1741789486858816000,3.91,false
1741789486862816000,0.89,false
1741789486866816000,-2.02,false
1741789486870816000,-3.28,false
1741789486874816000,1.74,false
1741789486878816000,4.31,false
1741789486882816000,1.90,false
1741789486886816000,-0.66,false
1741789486890816000,-1.60,false
1741789486894816000,0.86,false
1741789486898816000,4.27,false
1741789486902816000,0.14,false
1741789486906816000,-3.42,false
1741789486910816000,-3.83,false
1741789486914816000,-1.50,false
1741789486918816000,2.43,false
1741789486922816000,-0.56,false
1741789486926816000,-2.21,false
1741789486930816000,-2.03,false
1741789486934816000,0.64,false
1741789486938816000,3.62,false
1741789486942816000,1.59,false
1741789486946816000,-3.82,false
1741789486950816000,-2.37,false
1741789486954816000,1.06,false
1741789486958816000,5.07,false
1741789486962816000,2.35,false
1741789486966816000,-1.24,false
1741789486970816000,-3.83,false
1741789486974816000,1.26,false
1741789486978816000,4.84,false
1741789486982816000,1.78,false
1741789486986816000,-0.88,false
1741789486990816000,-2.75,false
1741789486994816000,-0.09,false
1741789486998816000,3.07,false
1741789487002816000,-1.34,false
1741789487006816000,-3.74,false
1741789487010816000,-3.64,false
1741789487014816000,-0.75,false
1741789487018816000,4.79,false
1741789487022816000,1.71,false
1741789487026816000,-0.83,false
1741789487030816000,-3.54,false
1741789487034816000,2.10,false
1741789487038816000,5.88,false
1741789487042818000,3.57,false
1741789487046883000,-2.29,false
1741789487050816000,-1.78,false
1741789487054816000,0.75,false
1741789487058816000,4.04,false
1741789487062816000,1.33,false
1741789487066816000,-1.35,false
1741789487070816000,-3.08,false
1741789487074816000,3.65,false
1741789487078816000,6.05,false
1741789487082816000,2.81,false
1741789487086816000,0.61,false
1741789487090816000,-0.94,false
1741789487094816000,1.58,false
1741789487098816000,6.26,false
1741789487102816000,2.98,false
1741789487106816000,-0.79,false
1741789487110816000,-1.57,false
1741789487114816000,0.84,false
1741789487118816000,5.96,false
1741789487122816000,2.60,false
1741789487126816000,-0.35,false
1741789487130816000,-3.69,false
1741789487134816000,1.65,false
1741789487138816000,5.15,false
1741789487142816000,2.32,false
1741789487146816000,-3.54,false
1741789487150816000,-2.91,false
1741789487154816000,-0.16,false
1741789487158816000,3.57,false
1741789487162816000,1.77,false
1741789487166816000,-0.89,false
1741789487170816000,-3.21,false
1741789487174816000,2.95,false
1741789487178816000,6.52,false
