Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
7,3,BASIS,Motor,12.03.25 17-51-26.csv,209,12.03.25 17-50-00,12.03.25 17-51-59,34.0,-10.0,-20.0,True,False,False,,9.867213,7.4792,1,867.06,./main/output/plots/12.03.25 17-51-26.png
7,4,BASIS,Motor,12.03.25 17-39-58.csv,213,12.03.25 17-39-00,12.03.25 17-41-59,35.0,-8.0,-39.0,True,True,False,"Liten avrivning, fint drag - slapp ikke lett",8.246213,5.704000000000001,1,513.17,./main/output/plots/12.03.25 17-39-58.png
7,4,APEX,Motor,12.03.25 17-53-54.csv,213,12.03.25 17-53-00,12.03.25 17-54-59,32.0,-14.0,-12.0,True,True,True,Dårlig og seig apex,6.275217,2.443993,1,803.52,./main/output/plots/12.03.25 17-53-54.png
7,5,APEX,Rykk,12.03.25 17-42-27.csv,178,12.03.25 17-40-00,12.03.25 17-42-59,33.0,-8.0,-24.0,True,False,True,,3.207,1.623,1,266.3,./main/output/plots/12.03.25 17-42-27.png
7,5,BASIS,Motor,12.03.25 17-55-43.csv,178,12.03.25 17-55-00,12.03.25 17-56-59,33.0,-15.0,-4.0,True,False,False,,8.139214,4.268007,1,619.12,./main/output/plots/12.03.25 17-55-43.png
7,6,BASIS,Motor,12.03.25 17-44-18.csv,203,12.03.25 17-43-00,12.03.25 17-44-59,35.0,-14.0,-25.0,True,False,False,Løsnet lett,5.551198,2.543,1,269.14,./main/output/plots/12.03.25 17-44-18.png
7,6,APEX,Rykk,12.03.25 17-57-08.csv,203,12.03.25 17-57-00,12.03.25 17-59-59,33.0,-15.0,-5.0,True,True,True,Hinne løsnet,8.047993,6.192015,1,783.37,./main/output/plots/12.03.25 17-57-08.png
8,1,BASIS,Rykk,12.03.25 18-09-20.csv,251,12.03.25 18-08-00,12.03.25 18-09-59,33.0,,-26.0,True,False,False,,4.915007,3.667,1,562.34,./main/output/plots/12.03.25 18-09-20.png
8,1,APEX,Rykk,12.03.25 18-23-48.csv,251,12.03.25 18-23-00,12.03.25 18-24-59,34.0,-10.0,-25.0,True,False,True,kontaktareal på overgang hinne/muskel,2.7079910000000007,2.056,1,399.4,./main/output/plots/12.03.25 18-23-48.png
8,2,APEX,Rykk,12.03.25 18-11-12.csv,164,12.03.25 18-10-00,12.03.25 18-11-59,33.0,,-20.0,True,False,True,"bra rykk, på muskel",7.661,5.204999999999999,1,692.08,./main/output/plots/12.03.25 18-11-12.png
8,2,BASIS,Motor,12.03.25 18-25-40.csv,164,12.03.25 18-24-00,12.03.25 18-25-59,33.0,-13.0,-20.0,True,False,False,Løsnet lett,6.3722140000000005,3.4880150000000003,2,155.18,./main/output/plots/12.03.25 18-25-40.png
8,3,BASIS,Motor,12.03.25 18-13-13.csv,254,12.03.25 18-11-00,12.03.25 18-13-59,35.0,-7.0,-8.0,True,True,False,"Rift i muskel, løftet røret, litt sen sampling. Lekkasje i pose, grå ""kokt"" tunge",13.246214,7.584,1,625.16,./main/output/plots/12.03.25 18-13-13.png
8,3,APEX,Rykk,12.03.25 18-27-04.csv,254,12.03.25 18-26-00,12.03.25 18-27-59,35.0,-16.0,-15.0,True,True,False,"Trengte to rykk, løftet rør først. Lekkasje i pose, grå ""kokt"" tunge",8.526,4.718,1,1477.83,./main/output/plots/12.03.25 18-27-04.png
8,4,BASIS,Motor,12.03.25 18-15-56.csv,155,12.03.25 18-14-00,12.03.25 18-16-59,34.0,-12.0,-8.0,True,True,False,"Løftet rør, lang kontakt",10.229214,5.744000000000001,1,1833.07,./main/output/plots/12.03.25 18-15-56.png
8,4,APEX,Motor,12.03.25 18-29-54.csv,155,12.03.25 18-29-00,12.03.25 18-31-59,34.0,-10.0,-12.0,True,True,True,"Løftet rør, tunge datt ned fra mount",9.740214000000002,3.084,1,1472.15,./main/output/plots/12.03.25 18-29-54.png
8,5,APEX,Motor,12.03.25 18-17-57.csv,178,12.03.25 18-16-00,12.03.25 18-18-59,34.0,-11.0,-3.0,True,True,True,løs hinne som løsnet,4.452214,1.5200000000000002,1,252.88,./main/output/plots/12.03.25 18-17-57.png
8,5,BASIS,Rykk,12.03.25 18-32-31.csv,178,12.03.25 18-31-00,12.03.25 18-32-59,34.0,-11.0,-9.0,True,True,False,"Bra rykk, holdt mulignes borti røret ved rykk",7.862015,6.533985,2,1282.42,./main/output/plots/12.03.25 18-32-31.png
8,6,APEX,Motor,12.03.25 18-22-25.csv,197,12.03.25 18-20-00,12.03.25 18-22-59,33.0,-6.0,-27.0,True,False,True,"ingen hinne, løsnet lett",7.991213999999999,4.855993,1,13.78,./main/output/plots/12.03.25 18-22-25.png
8,6,BASIS,Rykk,12.03.25 18-33-58.csv,197,12.03.25 18-33-00,12.03.25 18-34-59,33.0,-11.0,-6.0,True,True,False,"Trengte to rykk, touchet røret ved avrivning",3.24,2.2440070000000003,1,1380.59,./main/output/plots/12.03.25 18-33-58.png
9,1,BASIS,Motor,12.03.25 18-47-21.csv,178,12.03.25 18-46-00,12.03.25 18-47-59,35.0,,-20.0,True,True,False,Kjørte motor litt ned etter sampling hadde begynt,7.426206,1.849,1,550.96,./main/output/plots/12.03.25 18-47-21.png
9,1,APEX,Motor,12.03.25 18-58-33.csv,178,12.03.25 18-57-00,12.03.25 18-58-59,33.0,-12.0,-18.0,True,True,False,"middels apex, satt godt og løsnet fra mount",7.738215999999999,3.907993,1,1613.92,./main/output/plots/12.03.25 18-58-33.png
9,2,BASIS,Rykk,12.03.25 18-49-16.csv,240,12.03.25 18-48-00,12.03.25 18-49-59,32.0,,-15.0,True,True,False,"Stor avrivning, måtte holde røret som ble løftet",7.441,4.172998,1,1717.64,./main/output/plots/12.03.25 18-49-16.png
