time,temperature
11.03.25 14-42-29,25.059
11.03.25 14-42-29,25.132
11.03.25 14-42-30,25.126
11.03.25 14-42-30,25.103
11.03.25 14-42-31,25.008
11.03.25 14-42-31,25.108
11.03.25 14-42-32,24.982
11.03.25 14-42-32,25.129
11.03.25 14-42-33,25.209
11.03.25 14-42-33,25.119
11.03.25 14-42-34,25.169
11.03.25 14-42-34,25.164
11.03.25 14-42-35,24.966
11.03.25 14-42-35,24.857
11.03.25 14-42-36,25.044
11.03.25 14-42-36,25.027
11.03.25 14-42-37,25.027
11.03.25 14-42-37,24.853
11.03.25 14-42-38,25.004
11.03.25 14-42-38,24.874
11.03.25 14-42-39,24.939
11.03.25 14-42-39,24.849
11.03.25 14-42-40,25.068
11.03.25 15-04-58,9.250
11.03.25 15-04-59,9.236
11.03.25 15-05-00,9.289
11.03.25 15-05-00,9.033
11.03.25 15-05-01,8.991
11.03.25 15-05-02,8.854
11.03.25 15-05-03,8.920
11.03.25 15-05-04,8.749
11.03.25 15-05-05,9.022
11.03.25 15-05-05,9.022
11.03.25 15-05-06,8.878
11.03.25 15-05-07,9.134
11.03.25 15-05-08,9.174
11.03.25 15-05-09,9.273
11.03.25 15-05-09,9.154
11.03.25 15-05-10,9.061
11.03.25 15-05-11,9.019
11.03.25 15-05-12,8.848
11.03.25 15-05-12,9.059
11.03.25 15-05-13,9.132
11.03.25 15-05-14,8.438
11.03.25 15-05-15,9.620
11.03.25 15-05-15,6.062
11.03.25 15-05-16,-14.798
11.03.25 15-05-17,-13.307
11.03.25 15-05-18,-0.350
11.03.25 15-05-19,4.472
11.03.25 15-05-19,4.541
11.03.25 15-05-20,4.360
11.03.25 15-05-21,3.829
11.03.25 15-05-22,4.045
11.03.25 15-05-22,4.259
11.03.25 15-05-23,4.100
11.03.25 15-05-24,4.080
11.03.25 15-05-25,4.086
11.03.25 15-05-25,4.046
11.03.25 15-05-26,10.038
11.03.25 15-05-27,8.585
11.03.25 15-05-28,6.126
11.03.25 15-05-28,6.703
11.03.25 15-05-29,6.539
11.03.25 15-05-30,6.553
11.03.25 15-05-31,4.215
11.03.25 15-05-31,4.449
11.03.25 15-05-32,4.253
11.03.25 15-05-33,4.396
11.03.25 15-05-34,4.637
11.03.25 15-05-35,12.012
11.03.25 15-05-36,-32.102
11.03.25 15-05-36,-32.698
11.03.25 15-05-37,-32.756
11.03.25 15-05-38,-32.735
11.03.25 15-05-39,-31.119
11.03.25 15-05-40,-32.151
11.03.25 15-05-40,-31.603
11.03.25 15-05-41,-31.855
11.03.25 15-05-42,-31.592
11.03.25 15-05-43,-31.722
11.03.25 15-05-43,-31.260
11.03.25 15-05-44,-31.011
11.03.25 15-05-44,-31.631
11.03.25 15-05-45,-31.581
11.03.25 15-05-46,-31.304
11.03.25 15-06-11,-29.296
11.03.25 15-06-12,-29.530
11.03.25 15-06-13,-29.384
11.03.25 15-06-13,-29.502
11.03.25 15-06-14,-29.351
11.03.25 15-06-15,-28.961
11.03.25 15-06-16,-23.928
11.03.25 15-06-16,-13.260
11.03.25 15-06-17,-19.839
11.03.25 15-06-18,-20.144
11.03.25 15-06-19,-20.737
11.03.25 15-06-20,-20.546
11.03.25 15-06-20,-21.549
11.03.25 15-06-21,-20.142
11.03.25 15-06-22,-20.606
11.03.25 15-06-23,-17.537
11.03.25 15-06-23,-27.635
11.03.25 15-06-24,-28.159
11.03.25 15-06-52,-26.280
11.03.25 15-06-52,-25.875
11.03.25 15-06-53,-25.861
11.03.25 15-06-54,-25.657
11.03.25 15-06-55,-25.520
11.03.25 15-06-55,-25.605
11.03.25 15-06-56,-25.329
11.03.25 15-06-57,-25.936
11.03.25 15-06-58,-25.669
11.03.25 15-06-58,-25.552
11.03.25 15-06-59,-26.030
11.03.25 15-07-00,-25.780
11.03.25 15-07-00,-26.151
11.03.25 15-07-01,-25.967
11.03.25 15-07-02,-25.914
11.03.25 15-07-03,-25.720
11.03.25 15-07-04,-26.010
11.03.25 15-07-05,-26.295
11.03.25 15-07-05,-25.826
11.03.25 15-07-06,-25.624
11.03.25 15-07-07,-25.434
11.03.25 15-07-08,-25.685
11.03.25 15-07-08,-25.525
11.03.25 15-07-09,-25.519
