time,temperature
25.03.25 12-44-16,25.284
25.03.25 12-44-17,25.151
25.03.25 12-44-17,25.168
25.03.25 12-44-18,25.308
25.03.25 12-44-18,25.262
25.03.25 12-44-19,25.212
25.03.25 12-44-19,25.371
25.03.25 12-44-20,25.158
25.03.25 12-44-20,25.265
25.03.25 12-44-21,25.105
25.03.25 12-44-21,25.240
25.03.25 12-44-22,25.101
25.03.25 12-44-22,25.145
25.03.25 12-44-23,25.222
25.03.25 12-44-23,25.244
25.03.25 12-44-24,25.389
25.03.25 12-44-24,25.202
25.03.25 12-44-25,25.363
25.03.25 12-44-25,25.101
25.03.25 12-44-26,25.189
25.03.25 12-44-26,25.330
25.03.25 12-44-27,25.374
25.03.25 12-44-28,25.104
25.03.25 12-44-28,25.214
25.03.25 12-44-29,25.303
25.03.25 12-44-29,25.129
25.03.25 12-44-30,25.189
25.03.25 12-44-30,25.344
25.03.25 12-44-31,25.444
25.03.25 12-44-31,25.389
25.03.25 12-44-32,25.231
25.03.25 12-44-32,25.305
25.03.25 12-44-33,25.262
25.03.25 12-44-33,25.273
25.03.25 12-44-34,25.135
25.03.25 12-44-34,25.319
25.03.25 12-44-35,25.267
25.03.25 12-44-35,25.200
25.03.25 12-44-36,25.106
25.03.25 12-44-36,25.316
25.03.25 12-44-37,25.335
25.03.25 12-44-37,25.382
25.03.25 12-44-38,25.177
25.03.25 12-44-38,25.292
25.03.25 12-44-39,25.279
25.03.25 12-44-39,25.120
25.03.25 12-44-40,25.281
25.03.25 12-44-40,25.080
25.03.25 12-44-41,25.247
25.03.25 12-44-41,25.191
25.03.25 12-44-42,25.155
25.03.25 12-44-42,25.278
25.03.25 12-44-43,25.223
25.03.25 12-44-43,25.048
25.03.25 12-44-44,25.305
25.03.25 12-44-44,25.287
25.03.25 12-44-45,25.163
25.03.25 12-44-45,25.178
25.03.25 12-44-46,25.235
25.03.25 12-44-46,25.275
25.03.25 12-44-47,25.433
25.03.25 12-44-47,25.294
25.03.25 12-44-48,25.214
25.03.25 12-44-48,25.298
25.03.25 12-44-49,25.309
25.03.25 12-44-49,25.208
25.03.25 12-44-50,25.268
25.03.25 12-44-50,25.197
25.03.25 12-44-51,25.328
25.03.25 12-44-51,25.209
25.03.25 12-44-52,25.334
25.03.25 12-44-52,25.286
25.03.25 12-44-53,25.031
25.03.25 12-44-53,25.336
25.03.25 12-44-54,25.214
25.03.25 12-44-54,25.262
25.03.25 12-44-55,25.232
25.03.25 12-44-55,25.136
25.03.25 12-44-56,25.163
25.03.25 12-44-57,25.231
25.03.25 12-44-57,25.160
25.03.25 12-44-58,25.264
25.03.25 12-44-58,25.164
25.03.25 12-44-59,25.168
25.03.25 12-44-59,25.144
25.03.25 12-45-00,24.990
25.03.25 12-45-00,25.287
25.03.25 12-45-01,25.049
25.03.25 12-45-01,25.255
25.03.25 12-45-02,25.293
25.03.25 12-45-02,25.225
25.03.25 12-45-03,25.112
25.03.25 12-45-03,25.300
25.03.25 12-45-04,25.118
25.03.25 12-45-04,25.129
25.03.25 12-45-05,25.191
25.03.25 12-45-05,25.058
25.03.25 12-45-06,25.265
25.03.25 12-45-06,25.170
25.03.25 12-45-07,25.122
25.03.25 12-45-07,25.174
25.03.25 12-45-08,25.262
25.03.25 12-45-08,25.029
25.03.25 12-45-09,25.230
25.03.25 12-45-09,25.169
25.03.25 12-45-10,25.215
25.03.25 12-45-10,25.209
25.03.25 12-45-11,25.064
25.03.25 12-45-11,25.171
25.03.25 12-45-12,25.337
25.03.25 12-45-12,24.979
25.03.25 12-45-13,25.119
25.03.25 12-45-13,25.171
25.03.25 12-45-14,25.102
25.03.25 12-45-14,25.073
25.03.25 12-45-15,25.046
25.03.25 12-45-15,25.167
25.03.25 12-45-16,25.215
25.03.25 12-45-16,25.211
25.03.25 12-45-17,25.272
25.03.25 12-45-17,25.324
25.03.25 12-45-18,25.231
25.03.25 12-45-18,25.249
25.03.25 12-45-19,25.188
25.03.25 12-45-19,25.303
25.03.25 12-45-20,25.094
25.03.25 12-45-20,25.244
25.03.25 12-45-21,25.125
25.03.25 12-45-21,24.938
25.03.25 12-45-22,25.300
25.03.25 12-45-22,25.355
25.03.25 12-45-23,25.224
25.03.25 12-45-23,25.237
25.03.25 12-45-24,25.255
25.03.25 12-45-24,25.165
25.03.25 12-45-25,25.316
25.03.25 12-45-25,25.220
25.03.25 12-45-26,25.272
25.03.25 12-45-27,25.167
25.03.25 12-45-27,25.223
25.03.25 12-45-28,25.391
25.03.25 12-45-28,25.283
25.03.25 12-45-29,25.215
25.03.25 12-45-29,25.408
25.03.25 12-45-30,25.423
25.03.25 12-45-30,25.291
25.03.25 12-45-31,25.293
25.03.25 12-45-31,25.504
25.03.25 12-45-32,25.351
25.03.25 12-45-32,25.397
25.03.25 12-45-33,25.457
25.03.25 12-45-33,25.172
25.03.25 12-45-34,25.241
25.03.25 12-45-34,25.450
25.03.25 12-45-35,25.463
25.03.25 12-45-35,25.424
25.03.25 12-45-36,25.373
25.03.25 12-45-36,25.313
25.03.25 12-45-37,25.298
25.03.25 12-45-37,25.246
25.03.25 12-45-38,25.245
25.03.25 12-45-38,25.099
25.03.25 12-45-39,25.204
25.03.25 12-45-39,24.503
25.03.25 12-45-40,19.815
25.03.25 12-45-41,-11.984
25.03.25 12-45-41,-42.271
25.03.25 12-45-42,-33.220
25.03.25 12-45-42,-35.540
25.03.25 12-45-43,-36.247
25.03.25 12-45-43,-36.292
25.03.25 12-45-44,-37.802
25.03.25 12-45-44,-37.948
25.03.25 12-45-45,-38.693
25.03.25 12-45-45,-38.601
25.03.25 12-45-46,-36.766
25.03.25 12-45-46,-22.761
25.03.25 12-45-47,-35.842
25.03.25 12-45-48,-37.371
25.03.25 12-45-48,-37.921
25.03.25 12-45-49,-38.526
25.03.25 12-45-49,-38.387
25.03.25 12-45-50,-38.585
25.03.25 12-45-50,-38.479
25.03.25 12-45-51,-38.433
25.03.25 12-45-51,-38.745
25.03.25 12-45-52,-38.550
25.03.25 12-45-52,-38.579
25.03.25 12-45-53,-38.308
25.03.25 12-45-53,-38.160
25.03.25 12-45-54,-38.552
25.03.25 12-45-54,-38.540
25.03.25 12-45-55,-38.154
25.03.25 12-45-56,-38.095
25.03.25 12-45-56,-37.961
25.03.25 12-45-57,-38.056
25.03.25 12-45-57,-38.114
25.03.25 12-45-58,-38.345
25.03.25 12-45-58,-38.002
25.03.25 12-45-59,-38.086
25.03.25 12-45-59,-38.014
25.03.25 12-46-00,-37.955
25.03.25 12-46-00,-37.748
25.03.25 12-46-01,-37.912
25.03.25 12-46-01,-37.753
25.03.25 12-46-02,-37.945
25.03.25 12-46-02,-38.019
25.03.25 12-46-03,-37.331
25.03.25 12-46-03,-37.765
25.03.25 12-46-04,-37.967
25.03.25 12-46-04,-37.546
25.03.25 12-46-05,-37.746
25.03.25 12-46-05,-37.402
25.03.25 12-46-06,-37.802
25.03.25 12-46-06,-37.449
25.03.25 12-46-07,-37.619
25.03.25 12-46-07,-37.673
25.03.25 12-46-08,-37.272
25.03.25 12-46-08,-37.173
25.03.25 12-46-09,-37.294
25.03.25 12-46-09,-37.261
25.03.25 12-46-10,-37.384
25.03.25 12-46-10,-37.548
25.03.25 12-46-11,-37.118
25.03.25 12-46-11,-37.180
25.03.25 12-46-12,-37.449
25.03.25 12-46-12,-37.332
25.03.25 12-46-13,-37.196
25.03.25 12-46-13,-37.247
25.03.25 12-46-14,-36.684
25.03.25 12-46-14,-37.027
25.03.25 12-46-15,-36.821
25.03.25 12-46-15,-36.783
25.03.25 12-46-16,-36.903
25.03.25 12-46-16,-36.729
25.03.25 12-46-17,-36.573
25.03.25 12-46-17,-36.730
25.03.25 12-46-18,-36.367
25.03.25 12-46-18,-36.468
25.03.25 12-46-19,-36.304
25.03.25 12-46-19,-36.554
25.03.25 12-46-20,-35.966
25.03.25 12-46-20,-36.458
25.03.25 12-46-21,-36.404
25.03.25 12-46-21,-36.313
25.03.25 12-46-22,-36.252
25.03.25 12-46-22,-36.083
25.03.25 12-46-23,-35.926
25.03.25 12-46-23,-36.199
25.03.25 12-46-24,-36.230
25.03.25 12-46-24,-36.187
25.03.25 12-46-25,-35.959
25.03.25 12-46-26,-35.954
25.03.25 12-46-26,-36.014
25.03.25 12-46-27,-35.953
25.03.25 12-46-27,-36.020
25.03.25 12-46-28,-35.769
25.03.25 12-46-28,-35.986
25.03.25 12-46-29,-35.937
25.03.25 12-46-29,-36.039
25.03.25 12-46-30,-36.057
25.03.25 12-46-30,-35.963
25.03.25 12-46-31,-35.781
25.03.25 12-46-31,-35.973
25.03.25 12-46-32,-35.934
25.03.25 12-46-32,-35.447
25.03.25 12-46-33,-36.139
25.03.25 12-46-33,-35.518
25.03.25 12-46-34,-35.779
25.03.25 12-46-34,-35.337
25.03.25 12-46-35,-35.199
25.03.25 12-46-35,-35.201
