Timestamp(ns),Value,MotorActive
1741798962704868000,1.86,false
1741798962708854000,-0.93,false
1741798962712854000,-5.03,false
1741798962716861000,0.87,false
1741798962720901000,5.53,false
1741798962724854000,6.31,false
1741798962728854000,-0.60,false
1741798962732854000,-3.77,false
1741798962736861000,-2.18,false
1741798962740900000,-0.41,false
1741798962744854000,0.54,false
1741798962748854000,-0.57,false
1741798962752854000,-3.72,false
1741798962756861000,-1.82,false
1741798962760900000,0.61,false
1741798962764854000,-1.10,false
1741798962768854000,-2.79,false
1741798962772854000,-2.82,false
1741798962776861000,1.32,false
1741798962780900000,3.98,false
1741798962784854000,4.06,false
1741798962788006000,-0.77,false
1741798962791854000,-6.57,false
1741798962795854000,-2.68,false
1741798962799854000,1.55,false
1741798962803854000,3.73,false
1741798962807854000,1.25,false
1741798962811854000,-3.38,false
1741798962815854000,-3.71,false
1741798962819854000,-1.54,false
1741798962823854000,-1.26,false
1741798962827854000,-1.77,false
1741798962831854000,-2.10,false
1741798962835854000,2.07,false
1741798962839854000,3.89,false
1741798962843854000,4.56,false
1741798962847854000,-1.56,false
1741798962851854000,-3.11,false
1741798962855854000,0.96,false
1741798962859854000,5.33,false
1741798962863854000,6.77,false
1741798962867854000,2.73,false
1741798962871854000,-2.21,false
1741798962875854000,1.37,false
1741798962879854000,5.01,false
1741798962883854000,5.93,false
1741798962887854000,1.56,false
1741798962891854000,-6.92,false
1741798962895854000,-3.27,false
1741798962899854000,1.17,false
1741798962903855000,5.29,false
1741798962907856000,-0.75,false
1741798962911854000,-4.43,false
1741798962915854000,-3.00,false
1741798962919854000,4.40,false
1741798962923855000,4.56,false
1741798962927854000,1.73,false
1741798962931854000,-0.02,false
1741798962935854000,2.77,false
1741798962939854000,5.41,false
1741798962943854000,6.94,false
1741798962947854000,0.52,false
1741798962951854000,-1.21,false
1741798962955854000,2.73,false
1741798962959854000,5.34,false
1741798962963854000,5.40,false
1741798962967854000,2.36,false
1741798962971854000,-1.17,false
1741798962975854000,-0.03,false
1741798962979854000,6.34,false
1741798962983854000,7.54,false
1741798962987854000,4.19,false
1741798962991854000,-1.67,false
1741798962995855000,1.14,false
1741798962999854000,4.04,false
1741798963003854000,7.39,false
1741798963007854000,1.06,false
1741798963011854000,-2.91,false
1741798963015869000,-1.45,false
1741798963020022000,5.90,false
1741798963023854000,4.17,false
1741798963027855000,0.55,false
1741798963031854000,-3.24,false
1741798963035869000,0.12,false
1741798963039854000,4.37,false
1741798963043854000,6.50,false
1741798963047854000,3.24,false
1741798963051854000,-2.16,false
1741798963055869000,0.89,false
1741798963059854000,4.08,false
1741798963063854000,7.26,false
1741798963067854000,5.60,false
1741798963071854000,2.05,false
1741798963075874000,2.99,false
1741798963079856000,9.05,false
1741798963083854000,9.81,false
1741798963087854000,6.81,false
1741798963091854000,1.48,false
1741798963095870000,4.46,false
1741798963099854000,7.52,false
1741798963103854000,9.68,false
1741798963107855000,3.26,false
1741798963111854000,-0.80,false
1741798963115870000,0.27,false
1741798963119854000,6.05,false
1741798963123857000,5.38,false
1741798963127856000,2.70,false
1741798963131854000,-0.89,false
1741798963135869000,2.10,false
1741798963139854000,6.00,false
1741798963143854000,8.14,false
1741798963147854000,5.86,false
1741798963151854000,2.56,false
1741798963155869000,6.08,false
1741798963159854000,9.82,false
1741798963163854000,10.84,false
1741798963167854000,7.07,false
1741798963171854000,3.00,false
1741798963175869000,4.61,false
1741798963179854000,12.62,false
1741798963183854000,11.77,false
1741798963187854000,7.78,false
1741798963191854000,3.35,false
1741798963195869000,7.67,false
1741798963199854000,12.25,false
1741798963203854000,17.00,false
1741798963207854000,12.80,false
1741798963211854000,9.02,false
1741798963215869000,10.78,false
1741798963219854000,12.74,false
1741798963223854000,14.27,false
1741798963227854000,12.25,false
1741798963231854000,10.18,false
1741798963235870000,14.28,false
1741798963239854000,17.33,false
1741798963243854000,17.47,false
1741798963247854000,13.02,false
1741798963251854000,8.28,false
1741798963255869000,11.38,false
1741798963259854000,14.02,false
1741798963263854000,14.90,false
1741798963267854000,12.38,false
1741798963271854000,8.65,false
1741798963275869000,10.65,false
1741798963279854000,17.56,false
1741798963283854000,17.22,false
1741798963287956000,14.70,false
1741798963291854000,12.22,false
1741798963295869000,14.44,false
1741798963299854000,16.49,false
1741798963303855000,18.54,false
1741798963307854000,13.87,false
1741798963311854000,12.17,false
1741798963315869000,15.51,false
1741798963319855000,17.31,false
1741798963323854000,15.84,false
1741798963327855000,12.68,false
1741798963331854000,8.31,false
1741798963335871000,11.13,false
1741798963339854000,16.23,false
1741798963343854000,18.44,false
1741798963347854000,16.23,false
1741798963351854000,13.84,false
1741798963355869000,18.66,false
1741798963359854000,23.86,false
1741798963363854000,30.62,false
1741798963367854000,33.57,false
1741798963371854000,34.58,false
1741798963375869000,40.79,false
1741798963379854000,53.88,false
1741798963383854000,55.42,false
1741798963387854000,55.44,false
1741798963391854000,55.00,false
1741798963395869000,63.11,false
1741798963399854000,68.79,false
1741798963403854000,73.23,false
1741798963407854000,71.34,false
1741798963411854000,70.58,false
1741798963415869000,75.56,false
1741798963419854000,80.11,false
1741798963423854000,86.31,false
1741798963427854000,86.80,false
1741798963431854000,86.75,false
1741798963435899000,98.51,false
1741798963439855000,106.63,false
1741798963443854000,110.49,false
1741798963447854000,111.68,false
1741798963451854000,116.50,false
1741798963455869000,125.97,false
1741798963459854000,134.15,false
1741798963463854000,140.94,false
1741798963467854000,140.50,false
1741798963471854000,137.94,false
1741798963475869000,139.98,false
1741798963479854000,144.91,false
1741798963483854000,142.50,false
1741798963487854000,139.34,false
1741798963491854000,135.01,false
1741798963495869000,133.48,false
1741798963499854000,135.26,false
1741798963503855000,136.04,false
1741798963507854000,132.39,false
1741798963511854000,130.97,false
1741798963515870000,134.87,false
1741798963519855000,139.19,false
1741798963523854000,146.92,false
1741798963527854000,148.63,false
1741798963532088000,148.35,false
1741798963535872000,152.45,false
1741798963539854000,162.86,false
1741798963543854000,164.76,false
1741798963547854000,163.52,false
1741798963551854000,162.82,false
1741798963555869000,168.69,false
1741798963559854000,174.44,false
1741798963563854000,179.28,false
1741798963567854000,175.84,false
1741798963571854000,173.73,false
1741798963575869000,177.39,false
1741798963579854000,188.99,false
1741798963583854000,190.19,false
1741798963587854000,190.21,false
1741798963591854000,188.66,false
1741798963595869000,194.75,false
1741798963599854000,199.74,false
1741798963603854000,201.52,false
1741798963607854000,198.63,false
1741798963611854000,194.00,false
1741798963615869000,197.10,false
1741798963619854000,199.73,false
1741798963623854000,201.51,false
1741798963627854000,199.64,false
1741798963631854000,197.02,false
1741798963635870000,199.86,false
1741798963639854000,208.97,false
1741798963643854000,210.91,false
1741798963647854000,210.02,false
1741798963651854000,211.90,false
1741798963655869000,219.27,false
1741798963659854000,227.40,false
1741798963663854000,232.04,false
1741798963667854000,223.54,false
1741798963671854000,218.65,false
1741798963675869000,219.67,false
1741798963679854000,221.99,false
1741798963683854000,217.53,false
1741798963687854000,213.54,false
1741798963691854000,209.21,false
1741798963695869000,212.46,false
1741798963699854000,215.13,false
1741798963703856000,214.37,false
1741798963707855000,210.86,false
1741798963711855000,205.95,false
1741798963715870000,207.69,false
1741798963719854000,208.04,false
1741798963723854000,204.25,false
1741798963727854000,200.13,false
1741798963731854000,195.99,false
1741798963735869000,197.03,false
1741798963739854000,205.27,false
1741798963743855000,207.10,false
1741798963747854000,207.81,false
1741798963751854000,212.01,false
1741798963755869000,218.26,false
1741798963759854000,225.66,false
1741798963763854000,233.03,false
1741798963767854000,244.02,false
1741798963771854000,249.78,false
1741798963775869000,258.55,false
1741798963779854000,265.86,false
1741798963783854000,274.70,false
1741798963788043000,276.13,false
1741798963791854000,279.56,false
1741798963795870000,301.25,false
1741798963799854000,309.35,false
1741798963803854000,309.17,false
1741798963807854000,301.29,false
1741798963811854000,284.75,false
1741798963815869000,285.51,false
1741798963819854000,288.50,false
1741798963823854000,293.99,false
1741798963827854000,293.64,false
1741798963831854000,290.87,false
1741798963835869000,291.66,false
1741798963839854000,296.53,false
1741798963843854000,298.16,false
1741798963847854000,302.19,false
1741798963851854000,306.13,false
1741798963855869000,316.09,false
1741798963859854000,317.42,false
1741798963863854000,315.45,false
1741798963867854000,309.10,false
1741798963871854000,315.06,false
1741798963875869000,329.24,false
1741798963879854000,341.09,false
1741798963883854000,348.22,false
1741798963887854000,343.74,false
1741798963891854000,338.16,false
1741798963895869000,343.39,false
1741798963899854000,350.86,false
1741798963903856000,356.10,false
1741798963907854000,360.38,false
1741798963911854000,365.71,false
1741798963915870000,367.84,false
1741798963919855000,368.45,false
1741798963923854000,370.28,false
1741798963927854000,372.12,false
1741798963931854000,376.15,false
1741798963935869000,384.51,false
1741798963939854000,398.11,false
1741798963943855000,397.17,false
1741798963947854000,394.96,false
1741798963951854000,392.36,false
1741798963955869000,402.09,false
1741798963959854000,409.58,false
1741798963963854000,414.48,false
1741798963967854000,414.88,false
1741798963971854000,414.63,false
1741798963975869000,417.82,false
1741798963979854000,420.01,false
1741798963983854000,420.37,false
1741798963987854000,419.21,false
1741798963991854000,417.28,false
1741798963995869000,422.92,false
1741798963999854000,424.11,false
1741798964003854000,419.58,false
1741798964007854000,413.19,false
1741798964011854000,409.61,false
1741798964015869000,416.63,false
1741798964019854000,425.10,false
1741798964023854000,431.56,false
1741798964027854000,430.85,false
1741798964031854000,429.29,false
1741798964035869000,433.49,false
1741798964039854000,443.72,false
1741798964043974000,444.20,false
1741798964047854000,443.99,false
1741798964051854000,442.23,false
1741798964055869000,445.20,false
1741798964059854000,445.83,false
1741798964063854000,443.07,false
1741798964067854000,434.11,false
1741798964071854000,432.16,false
1741798964075869000,434.94,false
1741798964079854000,436.73,false
1741798964083854000,434.39,false
1741798964087854000,431.09,false
1741798964091854000,428.46,false
1741798964095869000,433.40,false
1741798964099854000,444.84,false
1741798964103854000,445.86,false
1741798964107855000,445.33,false
1741798964111854000,446.15,false
1741798964115869000,450.09,false
1741798964119854000,453.25,false
1741798964123854000,454.38,false
1741798964127854000,448.97,false
1741798964131854000,445.59,false
1741798964135869000,447.23,false
1741798964139854000,450.69,false
1741798964143854000,447.39,false
1741798964147855000,444.69,false
1741798964151855000,441.11,false
1741798964155871000,448.05,false
1741798964159854000,454.01,false
1741798964163854000,455.92,false
1741798964167854000,455.31,false
1741798964171854000,457.51,false
1741798964175869000,463.60,false
1741798964179854000,468.31,false
1741798964183854000,468.63,false
1741798964187854000,465.99,false
1741798964191854000,462.74,false
1741798964195869000,465.65,false
1741798964199854000,472.98,false
1741798964203854000,470.70,false
1741798964207854000,466.67,false
1741798964211854000,459.50,false
1741798964215869000,460.93,false
1741798964219854000,462.61,false
1741798964223854000,461.57,false
1741798964227854000,451.85,false
1741798964231854000,448.90,false
1741798964235869000,452.53,false
1741798964239854000,456.30,false
1741798964243854000,457.51,false
1741798964247854000,455.68,false
1741798964251854000,453.25,false
1741798964255870000,462.00,false
1741798964259854000,468.65,false
1741798964263854000,470.58,false
1741798964267854000,469.58,false
1741798964271854000,469.23,false
1741798964275869000,473.33,false
1741798964279854000,477.39,false
1741798964283854000,478.67,false
1741798964287925000,477.25,false
1741798964291854000,475.12,false
1741798964295869000,478.65,false
1741798964299854000,486.11,false
1741798964303855000,485.16,false
1741798964307854000,483.50,false
1741798964311854000,483.87,false
1741798964315869000,487.81,false
1741798964319855000,491.84,false
1741798964323855000,493.02,false
1741798964327855000,487.73,false
1741798964331854000,486.46,false
1741798964335869000,490.39,false
1741798964339854000,494.21,false
1741798964343854000,496.14,false
1741798964347854000,492.78,false
1741798964351854000,487.31,false
1741798964355871000,489.51,false
1741798964359854000,494.21,false
1741798964363854000,494.96,false
1741798964367854000,493.62,false
1741798964371854000,491.52,false
1741798964375869000,495.07,false
1741798964379854000,499.15,false
1741798964383854000,498.90,false
1741798964387854000,496.90,false
1741798964391854000,494.93,false
1741798964395869000,498.92,false
1741798964399854000,507.62,false
1741798964403854000,506.58,false
1741798964407854000,505.18,false
1741798964411854000,501.99,false
1741798964415869000,509.20,false
1741798964419854000,515.38,false
1741798964423854000,517.62,false
1741798964427854000,514.07,false
1741798964431854000,513.91,false
1741798964435869000,518.00,false
1741798964439854000,521.64,false
1741798964443854000,524.85,false
1741798964447854000,523.80,false
1741798964451854000,521.01,false
1741798964455870000,526.19,false
1741798964459854000,530.35,false
1741798964463854000,528.71,false
1741798964467854000,526.23,false
1741798964471854000,524.97,false
1741798964475869000,528.71,false
1741798964479854000,532.96,false
1741798964483854000,536.25,false
1741798964487854000,535.95,false
1741798964491854000,536.39,false
1741798964495869000,542.72,false
1741798964499854000,555.80,false
1741798964503855000,556.43,false
1741798964507855000,556.89,false
1741798964511854000,555.46,false
1741798964515869000,563.89,false
1741798964519854000,570.11,false
1741798964523854000,571.90,false
1741798964527854000,568.22,false
1741798964531854000,567.97,false
1741798964535869000,571.73,false
1741798964539854000,576.15,false
1741798964543854000,581.08,false
1741798964547854000,586.54,false
1741798964551854000,594.51,false
1741798964556017000,614.11,false
1741798964559285000,619.30,false
1741798964562854000,617.76,false
1741798964566861000,615.77,false
1741798964570854000,613.19,false
1741798964574854000,620.18,false
1741798964578854000,625.13,false
1741798964582854000,628.62,false
1741798964586861000,627.93,false
1741798964590854000,622.17,false
1741798964594854000,622.73,false
