Timestamp(ns),Value,MotorActive
1742914075215493000,3.71,false
1742914075219479000,2.37,false
1742914075223479000,-1.57,false
1742914075227479000,-3.74,false
1742914075231524000,0.61,false
1742914075235479000,2.22,false
1742914075239479000,4.16,false
1742914075243479000,-2.05,false
1742914075247479000,-4.22,false
1742914075251542000,-1.41,false
1742914075255479000,3.09,false
1742914075259479000,1.64,false
1742914075263479000,-0.92,false
1742914075267479000,-2.72,false
1742914075271524000,1.71,false
1742914075275479000,3.15,false
1742914075279479000,3.28,false
1742914075283479000,-1.04,false
1742914075287479000,-3.97,false
1742914075291494000,0.08,false
1742914075295479000,2.20,false
1742914075299479000,1.15,false
1742914075303479000,-1.49,false
1742914075307479000,-3.93,false
1742914075311494000,-2.13,false
1742914075315479000,2.05,false
1742914075319479000,2.25,false
1742914075323479000,-0.37,false
1742914075327479000,-2.30,false
1742914075331494000,0.57,false
1742914075335479000,1.11,false
1742914075339479000,2.50,false
1742914075343479000,-1.71,false
1742914075347479000,-2.97,false
1742914075351496000,0.43,false
1742914075355479000,2.04,false
1742914075359479000,1.18,false
1742914075363479000,-1.89,false
1742914075367479000,-3.78,false
1742914075371494000,1.04,false
1742914075375479000,3.00,false
1742914075379479000,3.24,false
1742914075383479000,0.09,false
1742914075387479000,-3.24,false
1742914075391494000,-0.06,false
1742914075395479000,0.30,false
1742914075399479000,-0.17,false
1742914075403479000,-1.15,false
1742914075407479000,-2.27,false
1742914075411494000,0.25,false
1742914075415480000,2.59,false
1742914075419481000,0.94,false
1742914075423479000,-2.49,false
1742914075427479000,-3.96,false
1742914075431494000,0.79,false
1742914075435479000,2.18,false
1742914075439479000,3.39,false
1742914075443479000,-1.45,false
1742914075447479000,-3.71,false
1742914075451496000,-1.14,false
1742914075455479000,0.22,false
1742914075459479000,0.79,false
1742914075463479000,-0.50,false
1742914075467479000,-1.66,false
1742914075471494000,1.86,false
1742914075475479000,2.58,false
1742914075479479000,1.60,false
1742914075483479000,-2.00,false
1742914075487479000,-3.34,false
1742914075491495000,0.64,false
1742914075495479000,1.88,false
1742914075499479000,0.69,false
1742914075503479000,-1.44,false
1742914075507479000,-3.89,false
1742914075511494000,-1.73,false
1742914075515479000,2.87,false
1742914075519479000,1.95,false
1742914075523479000,-0.55,false
1742914075527479000,-2.63,false
1742914075531495000,0.53,false
1742914075535479000,1.42,false
1742914075539479000,2.03,false
1742914075543479000,-2.98,false
1742914075547479000,-3.47,false
1742914075551494000,0.76,false
1742914075555479000,2.18,false
1742914075559479000,-0.21,false
1742914075563479000,-2.72,false
1742914075567479000,-4.84,false
1742914075571498000,2.16,false
1742914075575479000,3.87,false
1742914075579479000,3.12,false
1742914075583479000,-0.77,false
1742914075587482000,-3.82,false
1742914075591497000,0.38,false
1742914075595479000,1.84,false
1742914075599479000,3.42,false
1742914075603479000,-2.07,false
1742914075607479000,-3.20,false
1742914075611494000,-0.45,false
1742914075615479000,3.17,false
1742914075619479000,0.92,false
1742914075623479000,-2.23,false
1742914075627479000,-3.89,false
1742914075631495000,1.37,false
1742914075635479000,3.06,false
1742914075639479000,3.77,false
1742914075643479000,-3.00,false
1742914075647479000,-4.63,false
1742914075651494000,-0.72,false
1742914075655479000,1.46,false
1742914075659479000,1.41,false
1742914075663479000,-1.19,false
1742914075667480000,-3.21,false
1742914075671494000,-1.23,false
1742914075675479000,2.88,false
1742914075679479000,2.22,false
1742914075683479000,-1.38,false
1742914075687479000,-2.91,false
1742914075691494000,1.49,false
1742914075695479000,3.51,false
1742914075699479000,4.95,false
1742914075703479000,-2.39,false
1742914075707479000,-4.98,false
1742914075711494000,-1.42,false
1742914075715479000,4.19,false
1742914075719479000,2.75,false
1742914075723479000,-0.35,false
1742914075727479000,-2.99,false
1742914075731495000,0.73,false
1742914075735479000,2.23,false
1742914075739479000,2.99,false
1742914075743479000,-0.69,false
1742914075747479000,-4.31,false
1742914075751494000,-0.52,false
1742914075755479000,1.33,false
1742914075759704000,0.15,false
1742914075763480000,-2.36,false
1742914075767480000,-4.63,false
1742914075771495000,-1.99,false
1742914075775479000,3.49,false
1742914075779479000,3.38,false
1742914075783479000,0.05,false
1742914075787479000,-3.29,false
1742914075791494000,0.05,false
1742914075795479000,1.75,false
1742914075799480000,3.24,false
1742914075803484000,-1.42,false
1742914075807479000,-3.16,false
1742914075811497000,-0.15,false
1742914075815479000,1.30,false
1742914075819481000,1.21,false
1742914075823479000,-1.44,false
1742914075827480000,-3.00,false
1742914075831495000,1.45,false
1742914075835479000,2.80,false
1742914075839481000,3.44,false
1742914075843479000,-0.51,false
1742914075847479000,-4.77,false
1742914075851494000,-1.58,false
1742914075855481000,0.36,false
1742914075859479000,0.75,false
1742914075863479000,-0.59,false
1742914075867479000,-3.11,false
1742914075871497000,-1.50,false
1742914075875479000,2.22,false
1742914075879479000,1.53,false
1742914075883479000,-1.53,false
