Timestamp(ns),Value,MotorActive
1742907513978494000,-1.56,false
1742907513982479000,-3.14,false
1742907513986479000,1.71,false
1742907513990479000,2.95,false
1742907513994479000,2.75,false
1742907513998479000,-2.50,false
1742907514002479000,-3.73,false
1742907514006481000,-0.41,false
1742907514010482000,1.57,false
1742907514014479000,0.26,false
1742907514018479000,-2.03,false
1742907514022479000,-4.15,false
1742907514026479000,-0.95,false
1742907514030479000,3.24,false
1742907514034479000,1.47,false
1742907514038479000,-2.19,false
1742907514042479000,-3.41,false
1742907514046479000,0.36,false
1742907514050479000,2.53,false
1742907514054479000,3.49,false
1742907514058479000,-2.67,false
1742907514062479000,-4.42,false
1742907514066479000,-0.61,false
1742907514070479000,3.54,false
1742907514074479000,1.01,false
1742907514078479000,-1.38,false
1742907514082479000,-2.94,false
1742907514086480000,0.81,false
1742907514090479000,2.09,false
1742907514094479000,1.93,false
1742907514098479000,-1.74,false
1742907514102479000,-2.11,false
1742907514106479000,1.97,false
1742907514110479000,3.06,false
1742907514114479000,-0.53,false
1742907514118479000,-2.68,false
1742907514122479000,-4.06,false
1742907514126479000,-1.11,false
1742907514130479000,3.62,false
1742907514134479000,2.07,false
1742907514138479000,-0.79,false
1742907514142479000,-3.02,false
1742907514146479000,-0.26,false
1742907514150479000,0.92,false
1742907514154479000,1.77,false
1742907514158479000,-1.86,false
1742907514162479000,-2.59,false
1742907514166479000,1.04,false
1742907514170479000,1.99,false
1742907514174479000,-0.76,false
1742907514178480000,-3.05,false
1742907514182481000,-4.21,false
1742907514186479000,2.24,false
1742907514190479000,4.00,false
1742907514194479000,2.99,false
1742907514198479000,-1.18,false
1742907514202479000,-3.75,false
1742907514206577000,-0.25,false
1742907514210479000,1.56,false
1742907514214479000,0.51,false
1742907514218479000,-1.36,false
1742907514222479000,-3.67,false
1742907514226479000,-0.53,false
1742907514230479000,2.40,false
1742907514234479000,0.41,false
1742907514238479000,-1.99,false
1742907514242479000,-3.36,false
1742907514246479000,2.40,false
1742907514250479000,3.64,false
1742907514254479000,3.11,false
1742907514258479000,-3.18,false
1742907514262479000,-4.53,false
1742907514266479000,-0.03,false
1742907514270479000,2.00,false
1742907514274479000,1.68,false
1742907514278479000,-0.52,false
1742907514282479000,-3.54,false
1742907514286479000,0.30,false
1742907514290479000,2.14,false
1742907514294479000,1.01,false
1742907514298479000,-1.89,false
1742907514302479000,-2.26,false
1742907514306479000,0.99,false
1742907514310480000,2.30,false
1742907514314479000,2.77,false
1742907514318479000,-3.43,false
1742907514322479000,-4.00,false
1742907514326479000,0.33,false
1742907514330479000,5.37,false
1742907514334479000,2.22,false
1742907514338479000,-1.73,false
1742907514342479000,-4.38,false
1742907514346479000,-0.19,false
1742907514350479000,2.44,false
1742907514354479000,2.50,false
1742907514358479000,-2.04,false
1742907514362479000,-2.72,false
1742907514366479000,0.29,false
1742907514370479000,1.27,false
1742907514374479000,-1.20,false
1742907514378479000,-3.17,false
1742907514382479000,-4.11,false
1742907514386479000,0.04,false
1742907514390479000,4.80,false
1742907514394479000,2.00,false
1742907514398479000,-2.23,false
1742907514402479000,-4.11,false
1742907514406479000,-0.09,false
1742907514410479000,2.39,false
1742907514414479000,3.77,false
1742907514418479000,-1.88,false
1742907514422479000,-3.57,false
1742907514426479000,-0.27,false
1742907514430479000,2.66,false
1742907514434480000,-0.60,false
1742907514438479000,-2.58,false
1742907514442479000,-3.92,false
1742907514446479000,2.22,false
1742907514450479000,4.26,false
1742907514454479000,3.23,false
1742907514458479000,-0.81,false
1742907514462479000,-4.48,false
1742907514466479000,-0.21,false
1742907514470479000,2.13,false
1742907514474479000,0.66,false
1742907514478479000,-1.42,false
1742907514482479000,-3.98,false
1742907514486479000,-0.89,false
1742907514490479000,3.15,false
1742907514494480000,1.03,false
1742907514498482000,-2.19,false
1742907514502481000,-2.70,false
1742907514507474000,0.62,false
1742907514510479000,2.02,false
1742907514514480000,1.84,false
1742907514518482000,-2.54,false
1742907514522479000,-1.67,false
1742907514526480000,3.40,false
1742907514530481000,4.46,false
