Timestamp(ns),Value,MotorActive
1742913820320494000,-3.82,false
1742913820324479000,-1.47,false
1742913820328479000,-0.03,false
1742913820332486000,0.64,false
1742913820336525000,-1.17,false
1742913820340479000,-2.95,false
1742913820344479000,-2.27,false
1742913820348479000,1.72,false
1742913820352486000,1.94,false
1742913820356524000,-1.30,false
1742913820360479000,-3.13,false
1742913820364479000,0.80,false
1742913820368479000,2.12,false
1742913820372486000,3.99,false
1742913820376533000,-0.68,false
1742913820380479000,-2.56,false
1742913820384479000,-0.17,false
1742913820388479000,1.76,false
1742913820392486000,3.08,false
1742913820396525000,-0.61,false
1742913820400479000,-1.79,false
1742913820404479000,1.97,false
1742913820408479000,2.59,false
1742913820412486000,3.25,false
1742913820416494000,-1.01,false
1742913820420479000,-4.70,false
1742913820424479000,-1.15,false
1742913820428479000,1.39,false
1742913820432486000,1.84,false
1742913820436494000,-1.44,false
1742913820440479000,-3.68,false
1742913820444479000,-2.58,false
1742913820448479000,2.23,false
1742913820452486000,2.43,false
1742913820456494000,-1.63,false
1742913820460479000,-3.10,false
1742913820464479000,0.96,false
1742913820468479000,2.60,false
1742913820472486000,4.05,false
1742913820476495000,-1.50,false
1742913820480479000,-3.38,false
1742913820484479000,-0.67,false
1742913820488479000,2.37,false
1742913820492486000,3.00,false
1742913820496494000,-0.69,false
1742913820500479000,-2.96,false
1742913820504479000,0.95,false
1742913820508479000,2.74,false
1742913820512486000,4.14,false
1742913820516494000,0.74,false
1742913820520480000,-3.64,false
1742913820524481000,-0.23,false
1742913820528479000,1.42,false
1742913820532486000,0.48,false
1742913820536494000,-1.71,false
1742913820540479000,-3.52,false
1742913820544479000,-2.09,false
1742913820548479000,2.74,false
1742913820552486000,2.32,false
1742913820556495000,-1.63,false
1742913820560479000,-3.15,false
1742913820564479000,0.46,false
1742913820568479000,2.34,false
1742913820572486000,3.98,false
1742913820576494000,-1.55,false
1742913820580479000,-4.04,false
1742913820584479000,-1.02,false
1742913820588482000,1.95,false
1742913820592486000,2.47,false
1742913820596495000,-1.04,false
1742913820600479000,-2.78,false
1742913820604479000,1.63,false
1742913820608479000,3.13,false
1742913820612486000,3.98,false
1742913820616494000,0.02,false
1742913820620479000,-3.53,false
1742913820624479000,-0.04,false
1742913820628479000,1.93,false
1742913820632486000,4.11,false
1742913820636494000,-1.91,false
1742913820640479000,-3.98,false
1742913820644479000,-2.39,false
1742913820648479000,2.12,false
1742913820652486000,2.23,false
1742913820656494000,-1.25,false
1742913820660479000,-2.69,false
1742913820664479000,0.75,false
1742913820668479000,2.25,false
1742913820672486000,3.51,false
1742913820676497000,-2.05,false
1742913820680479000,-4.18,false
1742913820684479000,-0.56,false
1742913820688479000,2.08,false
1742913820692486000,2.47,false
1742913820696494000,-0.42,false
1742913820700479000,-2.80,false
1742913820704479000,-2.44,false
1742913820708480000,2.89,false
1742913820712487000,3.99,false
1742913820716494000,0.45,false
1742913820720479000,-3.30,false
1742913820724479000,0.06,false
1742913820728479000,1.88,false
1742913820732486000,3.69,false
1742913820736494000,-1.44,false
1742913820740479000,-3.56,false
1742913820744479000,-1.80,false
1742913820748479000,2.97,false
1742913820752486000,2.18,false
1742913820756494000,-1.65,false
1742913820760479000,-3.82,false
1742913820764479000,0.70,false
1742913820768479000,2.57,false
1742913820772486000,4.19,false
1742913820776495000,0.24,false
1742913820780479000,-4.03,false
1742913820784479000,-1.10,false
1742913820788479000,1.05,false
1742913820792486000,2.95,false
1742913820796494000,0.09,false
1742913820800479000,-2.28,false
1742913820804480000,-1.71,false
1742913820808479000,2.41,false
1742913820812486000,3.03,false
1742913820816494000,0.26,false
1742913820820479000,-2.61,false
1742913820824479000,0.74,false
1742913820828479000,2.33,false
1742913820832486000,4.45,false
1742913820836495000,-1.19,false
1742913820840479000,-4.18,false
1742913820844479000,-2.48,false
1742913820848479000,0.21,false
1742913820852486000,3.16,false
1742913820856494000,-0.08,false
1742913820860479000,-2.14,false
1742913820864479000,-0.09,false
1742913820868479000,1.59,false
