gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
57879,23.8,23.56,1000.12,23.85,25.03.25 12-43-58,0.09
57840,23.76,23.56,1000.12,23.85,25.03.25 12-44-01,0.05
58354,23.74,23.56,1000.11,23.85,25.03.25 12-44-04,0.08
58756,23.76,23.56,1000.11,23.85,25.03.25 12-44-07,0.07
58634,23.74,23.56,1000.11,23.84,25.03.25 12-44-10,0.1
58837,23.73,23.56,1000.12,23.84,25.03.25 12-44-13,0.09
58837,23.72,23.62,1000.11,23.84,25.03.25 12-44-16,0.08
58877,23.72,23.56,1000.11,23.84,25.03.25 12-44-18,0.09
58959,23.73,23.56,1000.11,23.84,25.03.25 12-44-21,0.07
59163,23.74,23.56,1000.11,23.84,25.03.25 12-44-24,0.07
59327,23.74,23.56,1000.11,23.84,25.03.25 12-44-27,0.07
59701,23.76,23.56,1000.11,23.84,25.03.25 12-44-30,0.09
59286,23.77,23.56,1000.11,23.83,25.03.25 12-44-33,0.1
59245,23.75,23.56,1000.11,23.83,25.03.25 12-44-36,0.1
59245,23.76,23.56,1000.12,23.83,25.03.25 12-44-39,0.09
59369,23.75,23.56,1000.12,23.83,25.03.25 12-44-42,0.09
59995,23.73,23.56,1000.13,23.83,25.03.25 12-44-45,0.08
59785,23.7,23.56,1000.12,23.83,25.03.25 12-44-51,0.09
57683,23.78,23.56,1000.13,23.82,25.03.25 12-44-53,0.1
57840,23.8,23.56,1000.12,23.82,25.03.25 12-44-56,0.1
58434,23.78,23.56,1000.12,23.82,25.03.25 12-44-59,0.11
58474,23.77,23.56,1000.12,23.82,25.03.25 12-45-02,0.11
58634,23.76,23.56,1000.12,23.82,25.03.25 12-45-05,0.09
59204,23.75,23.56,1000.11,23.82,25.03.25 12-45-08,0.09
59869,23.7,23.56,1000.12,23.82,25.03.25 12-45-11,0.09
60037,23.66,23.56,1000.11,23.82,25.03.25 12-45-14,0.09
59869,23.65,23.56,1000.11,23.82,25.03.25 12-45-17,0.1
59869,23.65,23.56,1000.11,23.81,25.03.25 12-45-20,0.08
60037,23.65,23.56,1000.11,23.81,25.03.25 12-45-23,0.1
60164,23.63,23.56,1000.11,23.81,25.03.25 12-45-26,0.11
60548,23.61,23.56,1000.11,23.81,25.03.25 12-45-29,0.12
60634,23.6,23.56,1000.1,23.81,25.03.25 12-45-32,0.08
60807,23.59,23.56,1000.11,23.81,25.03.25 12-45-35,0.13
61200,23.59,23.56,1000.1,23.81,25.03.25 12-45-38,0.12
61332,23.63,23.56,1000.11,23.81,25.03.25 12-45-41,0.08
61068,23.66,23.56,1000.11,23.8,25.03.25 12-45-44,0.09
61112,23.7,23.56,1000.11,23.8,25.03.25 12-45-47,0.13
60505,23.7,23.56,1000.1,23.8,25.03.25 12-45-51,0.07
60079,23.73,23.12,1000.11,23.8,25.03.25 12-45-53,0.06
60334,23.78,22.44,1000.1,23.8,25.03.25 12-45-56,0.07
60548,23.85,21.87,1000.1,23.8,25.03.25 12-45-59,0.08
60548,23.92,21.44,1000.1,23.8,25.03.25 12-46-02,0.07
61112,23.98,20.81,1000.11,23.8,25.03.25 12-46-05,0.08
61200,23.97,19.87,1000.11,23.8,25.03.25 12-46-08,0.09
61332,23.94,18.69,1000.11,23.8,25.03.25 12-46-11,0.12
62135,23.93,17.56,1000.11,23.8,25.03.25 12-46-14,0.1
62181,23.9,16.37,1000.11,23.8,25.03.25 12-46-17,0.12
62545,23.89,15.19,1000.11,23.8,25.03.25 12-46-20,0.11
62868,23.83,14.0,1000.1,23.8,25.03.25 12-46-23,0.11
62822,23.82,12.88,1000.11,23.8,25.03.25 12-46-25,0.09
63054,23.78,11.75,1000.11,23.8,25.03.25 12-46-28,0.13
62961,23.75,10.63,1000.12,23.8,25.03.25 12-46-31,0.14
63382,23.74,9.56,1000.12,23.8,25.03.25 12-46-34,0.15
63194,23.76,8.5,1000.11,23.8,25.03.25 12-46-37,0.12
63288,23.8,7.5,1000.11,23.8,25.03.25 12-46-40,0.13
62729,23.82,6.5,1000.11,23.8,25.03.25 12-46-43,0.12
63241,23.82,5.5,1000.1,23.79,25.03.25 12-46-46,0.13
