gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
114132,12.95,19.69,994.43,23.58,11.03.25 16-32-08,0.03
115367,12.94,19.62,994.44,23.58,11.03.25 16-32-11,0.02
116310,12.94,19.69,994.43,23.58,11.03.25 16-32-14,0.02
116948,12.93,19.69,994.43,23.58,11.03.25 16-32-17,0.02
118491,12.92,19.69,994.43,23.58,11.03.25 16-32-20,0.04
119486,12.91,19.69,994.42,23.58,11.03.25 16-32-22,0.03
118162,12.91,19.69,994.42,23.58,11.03.25 16-32-25,0.04
117189,12.9,19.69,994.41,23.58,11.03.25 16-32-28,0.02
117028,12.9,19.69,994.41,23.58,11.03.25 16-32-31,0.05
114978,12.9,19.75,994.42,23.58,11.03.25 16-32-34,0.05
113374,12.92,19.69,994.42,23.58,11.03.25 16-32-37,0.07
112999,12.93,19.75,994.42,23.58,11.03.25 16-32-40,0.05
112849,12.93,19.75,994.42,23.58,11.03.25 16-32-43,0.05
113904,12.94,19.75,994.42,23.58,11.03.25 16-32-46,0.04
114669,12.95,19.75,994.41,23.58,11.03.25 16-32-49,0.03
115056,12.97,19.75,994.4,23.57,11.03.25 16-32-52,0.03
115445,12.97,19.75,994.41,23.58,11.03.25 16-32-54,0.04
115680,12.99,19.81,994.4,23.58,11.03.25 16-32-57,0.05
114978,13.0,19.81,994.4,23.58,11.03.25 16-33-00,0.01
115758,13.0,19.81,994.4,23.57,11.03.25 16-33-03,0.05
115680,13.0,19.81,994.4,23.57,11.03.25 16-33-06,0.05
115523,13.0,19.81,994.41,23.57,11.03.25 16-33-09,0.02
114438,13.01,19.81,994.4,23.57,11.03.25 16-33-12,0.01
114056,13.01,19.81,994.4,23.57,11.03.25 16-33-15,0.04
114669,13.01,19.87,994.39,23.57,11.03.25 16-33-18,0.03
115133,13.01,19.87,994.39,23.57,11.03.25 16-33-21,0.02
113224,12.99,19.87,994.39,23.57,11.03.25 16-33-24,0.04
110798,12.99,19.87,994.41,23.57,11.03.25 16-33-26,0.02
109518,12.99,19.87,994.4,23.57,11.03.25 16-33-29,0.04
110083,12.98,19.87,994.39,23.57,11.03.25 16-33-33,0.02
111668,12.98,19.87,994.39,23.56,11.03.25 16-33-36,0.04
112182,12.98,19.87,994.39,23.56,11.03.25 16-33-39,0.04
112108,12.98,19.94,994.39,23.56,11.03.25 16-33-42,0.02
110942,12.97,19.94,994.39,23.56,11.03.25 16-33-48,0.03
111668,12.99,19.87,994.39,23.55,11.03.25 16-33-51,0.04
110942,13.01,19.94,994.39,23.55,11.03.25 16-33-54,0.04
110012,13.01,19.94,994.38,23.55,11.03.25 16-33-57,0.04
109098,13.01,19.94,994.39,23.56,11.03.25 16-34-00,0.04
106911,13.02,19.94,994.39,23.56,11.03.25 16-34-04,0.06
105588,13.01,20.0,994.4,23.56,11.03.25 16-34-06,0.04
102790,13.02,19.94,994.39,23.56,11.03.25 16-34-09,0.0
101325,13.02,20.0,994.39,23.56,11.03.25 16-34-12,0.03
101205,13.01,20.0,994.39,23.56,11.03.25 16-34-15,0.04
100490,13.02,20.0,994.4,23.56,11.03.25 16-34-18,0.02
99205,13.01,20.0,994.4,23.56,11.03.25 16-34-21,0.03
99785,13.01,20.0,994.39,23.56,11.03.25 16-34-24,0.02
99785,13.01,20.0,994.4,23.56,11.03.25 16-34-27,0.03
99263,13.0,20.0,994.4,23.56,11.03.25 16-34-30,0.05
101085,12.99,20.0,994.41,23.56,11.03.25 16-34-33,0.02
103038,12.98,20.06,994.4,23.57,11.03.25 16-34-36,0.04
