gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
34151,14.33,23.19,995.97,23.25,12.03.25 13-08-44,0.02
34261,14.38,23.19,995.96,23.25,12.03.25 13-08-47,0.05
34288,14.35,23.19,995.96,23.25,12.03.25 13-08-50,0.0
34707,14.32,23.19,995.96,23.25,12.03.25 13-08-53,0.01
35251,14.31,23.19,995.96,23.25,12.03.25 13-08-55,0.04
35310,14.29,23.19,995.95,23.25,12.03.25 13-09-01,0.05
34151,14.35,23.19,995.96,23.24,12.03.25 13-09-04,0.04
34792,14.38,23.19,995.95,23.24,12.03.25 13-09-07,0.03
35368,14.34,23.19,995.95,23.24,12.03.25 13-09-10,0.04
35934,14.32,23.12,995.95,23.24,12.03.25 13-09-13,0.05
36178,14.3,23.19,995.95,23.24,12.03.25 13-09-16,0.04
36519,14.3,23.19,995.95,23.24,12.03.25 13-09-19,0.02
36644,14.33,23.12,995.95,23.24,12.03.25 13-09-22,-0.01
37155,14.35,23.19,995.96,23.24,12.03.25 13-09-25,0.02
37383,14.35,23.19,995.96,23.24,12.03.25 13-09-27,-0.03
37285,14.38,23.19,995.96,23.24,12.03.25 13-09-31,0.0
37252,14.51,23.12,995.96,23.24,12.03.25 13-09-34,-0.0
37580,14.54,23.12,995.96,23.23,12.03.25 13-09-37,0.03
37914,14.51,23.12,995.96,23.23,12.03.25 13-09-40,0.03
38049,14.55,23.12,995.96,23.23,12.03.25 13-09-42,0.02
38288,14.58,23.12,995.95,23.23,12.03.25 13-09-45,0.02
38531,14.6,23.12,995.95,23.23,12.03.25 13-09-49,0.03
38740,14.59,23.12,995.95,23.23,12.03.25 13-09-51,0.05
39275,14.58,23.12,995.95,23.23,12.03.25 13-09-54,0.02
39421,14.55,23.12,995.95,23.24,12.03.25 13-09-57,0.01
39530,14.56,23.12,995.95,23.24,12.03.25 13-10-00,0.02
39493,14.56,23.12,995.95,23.23,12.03.25 13-10-03,0.0
39567,14.6,23.12,995.96,23.24,12.03.25 13-10-06,0.02
39421,14.65,23.12,995.97,23.24,12.03.25 13-10-09,0.02
39825,14.71,23.12,995.97,23.24,12.03.25 13-10-12,0.04
40087,14.72,23.12,995.97,23.24,12.03.25 13-10-15,0.03
40276,14.71,23.12,995.97,23.24,12.03.25 13-10-17,0.02
40544,14.67,23.12,995.96,23.24,12.03.25 13-10-20,0.0
40660,14.64,23.12,995.95,23.24,12.03.25 13-10-23,-0.02
40894,14.65,23.12,995.95,23.24,12.03.25 13-10-26,0.04
41131,14.62,23.12,995.94,23.24,12.03.25 13-10-29,0.02
41330,14.56,23.12,995.94,23.24,12.03.25 13-10-32,0.01
41693,14.53,23.12,995.94,23.24,12.03.25 13-10-35,0.02
41734,14.54,23.12,995.93,23.24,12.03.25 13-10-38,0.01
41653,14.6,23.12,995.94,23.24,12.03.25 13-10-41,-0.0
41816,14.68,23.12,995.93,23.24,12.03.25 13-10-44,0.02
42188,14.68,23.12,995.94,23.25,12.03.25 13-10-47,-0.0
42398,14.67,23.12,995.94,23.25,12.03.25 13-10-50,0.01
42440,14.64,23.12,995.94,23.25,12.03.25 13-10-53,0.01
42652,14.64,23.12,995.95,23.25,12.03.25 13-10-56,0.02
42652,14.68,23.12,995.95,23.25,12.03.25 13-10-59,0.02
42953,14.72,23.12,995.94,23.26,12.03.25 13-11-02,0.01
42909,14.72,23.12,995.95,23.26,12.03.25 13-11-05,0.02
43389,14.67,23.12,995.95,23.26,12.03.25 13-11-08,-0.03
43083,14.63,23.12,995.95,23.26,12.03.25 13-11-11,-0.0
43611,14.6,23.12,995.95,23.26,12.03.25 13-11-14,-0.01
43835,14.58,23.12,995.95,23.27,12.03.25 13-11-19,-0.02
42314,14.58,23.12,995.95,23.26,12.03.25 13-11-22,0.0
43039,14.57,23.12,995.94,23.26,12.03.25 13-11-25,0.0
43345,14.53,23.12,995.94,23.26,12.03.25 13-11-28,0.01
43745,14.51,23.12,995.94,23.26,12.03.25 13-11-31,-0.01
44244,14.5,23.12,995.94,23.26,12.03.25 13-11-34,0.01
44521,14.48,23.12,995.94,23.27,12.03.25 13-11-37,0.02
44802,14.43,23.12,995.94,23.27,12.03.25 13-11-40,-0.01
45133,14.4,23.12,995.94,23.27,12.03.25 13-11-42,-0.02
45181,14.38,23.12,995.93,23.27,12.03.25 13-11-45,0.01
45422,14.36,23.12,995.94,23.27,12.03.25 13-11-48,0.02
45470,14.34,23.12,995.94,23.27,12.03.25 13-11-51,0.01
45960,14.32,23.12,995.94,23.27,12.03.25 13-11-54,-0.02
45960,14.3,23.12,995.94,23.27,12.03.25 13-11-57,-0.0
46159,14.29,23.12,995.94,23.27,12.03.25 13-12-00,0.02
46109,14.29,23.12,995.94,23.27,12.03.25 13-12-03,-0.0
46460,14.29,23.12,995.93,23.27,12.03.25 13-12-06,0.01
46410,14.28,23.12,995.93,23.27,12.03.25 13-12-09,0.01
46664,14.28,23.12,995.94,23.28,12.03.25 13-12-12,-0.0
46817,14.26,23.12,995.93,23.28,12.03.25 13-12-15,-0.01
46511,14.27,23.12,995.93,23.28,12.03.25 13-12-18,0.03
46817,14.29,23.12,995.93,23.28,12.03.25 13-12-20,-0.01
47636,14.29,23.12,995.94,23.28,12.03.25 13-12-23,-0.0
47770,14.29,23.12,995.95,23.28,12.03.25 13-12-26,-0.01
47743,14.29,23.12,995.95,23.28,12.03.25 13-12-29,-0.01
