Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
5,5,BASIS,Motor,12.03.25 16-09-59.csv,231,2025-03-12 16:09:00,2025-03-12 16:10:59,37.0,,-22.0,True,False,False,Løsnet lett,8.749257,0.0,0,162.69,./main/output/plots/12.03.25 16-09-59.png
5,5,APEX,Rykk,12.03.25 16-20-46.csv,231,2025-03-12 16:20:00,2025-03-12 16:20:59,36.0,-14.0,-4.0,False,True,True,Liten avrivningsskade,2.075,0.0,0,858.6,./main/output/plots/12.03.25 16-20-46.png
5,6,APEX,Motor,12.03.25 16-11-49.csv,158,2025-03-12 16:11:00,2025-03-12 16:12:59,36.0,-3.0,-25.0,True,False,True,ingen hinne (kun muskel) i kontaktområde. God strekk i tunge ved de-attach,9.072214,0.0,0,473.94,./main/output/plots/12.03.25 16-11-49.png
5,6,BASIS,Rykk,12.03.25 16-22-05.csv,158,2025-03-12 16:21:00,2025-03-12 16:22:59,34.0,-13.0,0.0,True,True,False,tynn hinne igjen på rør,3.738,0.0,0,873.6,./main/output/plots/12.03.25 16-22-05.png
6,1,BASIS,Motor,12.03.25 16-40-59.csv,208,2025-03-12 16:40:00,2025-03-12 16:41:59,36.0,,-21.0,True,True,False,Liten avrivning,5.091049,0.0,0,277.23,./main/output/plots/12.03.25 16-40-59.png
6,1,APEX,Motor,12.03.25 16-54-19.csv,208,2025-03-12 16:53:00,2025-03-12 16:54:59,36.0,-17.0,-8.0,True,False,True,"Festet på muske, mye strekk i tunga",11.707214,0.0,0,577.61,./main/output/plots/12.03.25 16-54-19.png
6,2,BASIS,Rykk,12.03.25 16-42-47.csv,207,2025-03-12 16:42:00,2025-03-12 16:42:59,36.0,,-13.0,True,True,False,"Satt veldig godt, slapp ikke ved rykk så ble mer ""dratt"" av",5.891993,0.0,0,1110.87,./main/output/plots/12.03.25 16-42-47.png
6,2,APEX,Rykk,12.03.25 16-57-55.csv,207,2025-03-12 16:56:00,2025-03-12 16:58:59,35.0,-11.0,-25.0,True,False,True,"På muskel, løsnet lett",3.220015,0.0,0,247.07,./main/output/plots/12.03.25 16-57-55.png
6,3,BASIS,Rykk,12.03.25 16-44-35.csv,180,2025-03-12 16:43:00,2025-03-12 16:44:59,36.0,0.0,-8.0,True,True,False,Satt godt fast,3.819,0.0,0,1201.33,./main/output/plots/12.03.25 16-44-35.png
6,3,APEX,Rykk,12.03.25 16-59-34.csv,180,2025-03-12 16:58:00,2025-03-12 16:59:59,35.0,-12.0,-20.0,True,False,True,På muskel ,5.248,0.0,0,521.43,./main/output/plots/12.03.25 16-59-34.png
6,4,APEX,Motor,12.03.25 16-48-43.csv,225,2025-03-12 16:47:00,2025-03-12 16:48:59,36.0,-2.0,-21.0,True,False,False,Løsnet lett,4.508382,0.0,0,73.71,./main/output/plots/12.03.25 16-48-43.png
6,4,BASIS,Rykk,12.03.25 17-00-57.csv,225,2025-03-12 17:00:00,2025-03-12 17:01:59,35.0,-15.0,-13.0,True,True,False,"Satt veldig godt, løftet røret, mye avrivning",5.156,0.0,0,1244.25,./main/output/plots/12.03.25 17-00-57.png
6,5,APEX,Motor,12.03.25 16-50-53.csv,147,2025-03-12 16:49:00,2025-03-12 16:51:59,36.0,-11.0,-20.0,True,False,True,"På muskel, frostskade",6.3322140000000005,0.0,0,636.99,./main/output/plots/12.03.25 16-50-53.png
6,5,BASIS,Motor,12.03.25 17-02-42.csv,147,2025-03-12 17:01:00,2025-03-12 17:03:59,33.0,-17.0,-12.0,True,True,False,"Rolig avrivning, mye igjen på pipe",5.022264,0.0,0,956.76,./main/output/plots/12.03.25 17-02-42.png
6,6,APEX,Motor,12.03.25 16-52-43.csv,178,2025-03-12 16:51:00,2025-03-12 16:52:59,36.0,-15.0,-13.0,True,False,True,Dårlig apex,6.515214,0.0,0,212.23,./main/output/plots/12.03.25 16-52-43.png
6,6,BASIS,Rykk,12.03.25 17-05-58.csv,178,2025-03-12 17:05:00,2025-03-12 17:06:59,35.0,-10.0,-21.0,True,False,False,"Satt godt, to/tre mindre rykk",6.542,0.0,0,1879.21,./main/output/plots/12.03.25 17-05-58.png
7,1,BASIS,Rykk,12.03.25 17-34-20.csv,222,2025-03-12 17:33:00,2025-03-12 17:34:59,35.0,,-28.0,True,False,False,Løsnet lett,2.644,0.0,0,289.13,./main/output/plots/12.03.25 17-34-20.png
7,1,APEX,Motor,12.03.25 17-45-51.csv,222,2025-03-12 17:45:00,2025-03-12 17:46:59,35.0,-22.0,-19.0,True,True,True,"Dårlig resultat, satt veldig godt og løftet røret",12.887214,0.0,0,1394.25,./main/output/plots/12.03.25 17-45-51.png
7,2,APEX,Rykk,12.03.25 17-35-53.csv,262,2025-03-12 17:34:00,2025-03-12 17:36:59,35.0,,-24.0,True,False,True,Løsnet lett,4.996,0.0,0,480.4,./main/output/plots/12.03.25 17-35-53.png
7,2,BASIS,Rykk,12.03.25 17-50-01.csv,262,2025-03-12 17:49:00,2025-03-12 17:50:59,34.0,-7.0,-21.0,True,False,False,,2.582993,0.0,0,319.56,./main/output/plots/12.03.25 17-50-01.png
